# config.machine: 7800x3d-4070tis
# config.bin: ./bench-rtrack
# config.numactl: 
# config.transforms: matrix
# config.methods: all
# config.n: 2048; 4096; 8192; 16384
# config.chunk_mib: 4; 16; 64; 256
# config.threads: 8
# config.warmup: 5
# config.iters: 30
# config.out_csv: bench/results/bp_matrix_nsweep_7800x3d-4070tis.csv
# calibration.timestamp: 2026-08-11T22:08:14+0900
# calibration.hostname: JueonAtHome
# calibration.kernel: Linux JueonAtHome 6.18.33.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun 18 21:54:43 UTC 2026 x86_64
# calibration.cpu_model: AMD Ryzen 7 7800X3D 8-Core Processor
# calibration.governors: 
# calibration.transparent_hugepage: always [madvise] never
# calibration.numactl_available: False
# calibration.cuda_toolkit: nvcc: NVIDIA (R) Cuda compiler driver Copyright (c) 2005-2026 NVIDIA Corporation Built on Thu_Mar_19_11:12:51_PM_PDT_2026 Cuda compilation tools, release 13.2, V13.2.78 Build cuda_13.2.r13.2/compiler.37668154_0
# calibration.gpus: {'name': 'NVIDIA GeForce RTX 4070 Ti SUPER', 'driver': '595.79', 'pcie_gen_current_idle': '4', 'pcie_gen_max': '4', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '2610 MHz', 'clocks_mem': '10251 MHz'}
# calibration.pcie_under_load.gen: 4
# calibration.pcie_under_load.width: 16
# calibration.triad_gbps: 39.87
# calibration.nvbandwidth: None
# calibration.notes: cpufreq governors unreadable; nvbandwidth not installed
machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire,h2d_occupancy
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose,2048,f32,1,8,4,4194304,4,4.2952,4.04944,4.66704,8.54284,1,3.90604,4.60205,4.00399,0.64432,0,0,1,matrix,f32,0.141692
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose,2048,f32,1,8,4,4194304,4,1.154,1.01468,1.31009,13.282,1,14.5383,1.20051,0.716441,0.715568,0.054048,0,1,matrix,f32,0.624199
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose,2048,f32,1,8,4,4194304,4,0.719961,0.678301,0.763626,4.87609,0,23.3029,0.733184,0,0.663184,0.054992,0,1,matrix,f32,0.900259
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_pipelined,transpose,2048,f32,1,8,4,4194304,4,0.722352,0.693284,0.739383,2.54994,0,23.2258,0.740112,0,0.6592,0.116736,0,1,matrix,f32,0.896406
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose,2048,f32,1,8,16,16777216,1,2.67046,2.5393,3.60426,20.9192,1,6.28253,2.84258,2.03077,0.629904,0,0,1,matrix,f32,0.221556
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose,2048,f32,1,8,16,16777216,1,1.34732,1.29478,1.4024,3.96904,0,12.4523,1.41363,0.62335,0.669488,0.058176,0,1,matrix,f32,0.470073
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose,2048,f32,1,8,16,16777216,1,0.704075,0.671093,0.735259,2.76917,0,23.8287,0.718192,0,0.6568,0.047872,0,1,matrix,f32,0.913489
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_pipelined,transpose,2048,f32,1,8,16,16777216,1,0.6854,0.668454,0.698374,2.25634,0,24.478,0.694672,0,0.62984,0.016384,0,1,matrix,f32,0.905431
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,1,8,4,4194304,4,0.942117,0.876265,1.04815,10.9766,1,17.808,0.990624,0.692769,0.645824,0,0,1,matrix,f32,0.653315
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,2048,f32,1,8,4,4194304,4,1.08456,1.03128,1.17142,7.46308,1,15.4691,1.13186,0.697179,0.701792,0.077632,0,1,matrix,f32,0.620015
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,2048,f32,1,8,4,4194304,4,0.736422,0.708406,0.805187,5.7522,1,22.7821,0.7536,0,0.661584,0.074096,0,1,matrix,f32,0.882592
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_pipelined,blocked_transpose,2048,f32,1,8,4,4194304,4,0.699026,0.671649,0.735337,5.17341,1,24.0008,0.705536,0,0.643504,0.079488,0,1,matrix,f32,0.913439
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,1,8,16,16777216,1,0.799677,0.774851,0.84341,2.34657,0,20.98,0.831648,0.171657,0.629824,0,0,1,matrix,f32,0.757185
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,2048,f32,1,8,16,16777216,1,1.3815,1.30025,1.4456,2.81287,0,12.1442,1.44323,0.622281,0.672368,0.087392,0,1,matrix,f32,0.462759
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,2048,f32,1,8,16,16777216,1,0.746803,0.712732,0.796862,4.18929,0,22.4654,0.75768,0,0.661984,0.08784,0,1,matrix,f32,0.865734
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_pipelined,blocked_transpose,2048,f32,1,8,16,16777216,1,0.726543,0.698754,0.815289,3.66214,0,23.0918,0.728112,0,0.628992,0.044944,0,1,matrix,f32,0.869705
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose_quant,2048,s8,0.25,8,4,4194304,1,2.97646,2.46338,3.33557,15.0657,1,5.63664,3.18328,2.77389,0.1616,0,0,1,matrix,s8,0.0507022
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose_quant,2048,s8,0.25,8,4,4194304,4,1.09333,0.997057,1.21343,6.58676,1,15.345,1.15043,0.704007,0.70544,0.063312,0,1,matrix,s8,0.628044
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose_quant,2048,s8,0.25,8,4,4194304,4,0.723186,0.69277,0.77587,5.95566,1,23.199,0.743248,0,0.660752,0.062768,0,1,matrix,s8,0.891317
