# config.machine: epyc7351-2080ti
# config.bin: ./bench-rtrack
# config.numactl: 
# config.transforms: matrix
# config.methods: all
# config.n: 2048; 4096; 8192; 16384
# config.chunk_mib: 4; 16; 64; 256
# config.threads: 8
# config.warmup: 5
# config.iters: 30
# config.out_csv: bench/results/bp_matrix_nsweep_epyc7351-2080ti.csv
# calibration.timestamp: 2026-08-10T17:20:52+0900
# calibration.hostname: rebel-gpu1
# calibration.kernel: Linux rebel-gpu1 6.8.0-124-generic #124~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue May 26 21:05:19 UTC  x86_64
# calibration.cpu_model: AMD EPYC 7351 16-Core Processor
# calibration.governors: performance
# calibration.transparent_hugepage: always [madvise] never
# calibration.numactl_available: False
# calibration.cuda_toolkit: None
# calibration.gpus: {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}
# calibration.pcie_under_load.gen: 3
# calibration.pcie_under_load.width: 16
# calibration.triad_gbps: 25.9
# calibration.nvbandwidth: None
# calibration.notes: nvbandwidth not installed
machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire,h2d_occupancy
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,2048,f32,1,8,4,4194304,4,27.6216,25.971,29.4168,1.96015,0,0.607394,27.6148,27.1966,1.33405,0,0,1,matrix,f32,0.0482514
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose,2048,f32,1,8,4,4194304,4,1.89784,1.72806,2.04603,6.37475,1,8.84017,1.89066,1.44602,1.37478,0.075936,0,1,matrix,f32,0.730912
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,transpose,2048,f32,1,8,4,4194304,4,1.38987,1.38664,1.3954,0.348348,0,12.0711,1.38362,0,1.29898,0.072528,0,1,matrix,f32,0.939102
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,transpose,2048,f32,1,8,4,4194304,4,1.35163,1.34994,1.35907,0.458632,0,12.4126,1.34638,0,1.29778,0.156304,0,1,matrix,f32,0.963909
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,2048,f32,1,8,16,16777216,1,16.6347,16.134,23.0446,21.6728,1,1.00857,16.6274,15.3063,1.30102,0,0,1,matrix,f32,0.0784384
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose,2048,f32,1,8,16,16777216,1,2.87532,2.86507,2.95522,1.13873,0,5.83489,2.86885,1.48106,1.30259,0.0716,0,1,matrix,f32,0.454194
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,transpose,2048,f32,1,8,16,16777216,1,1.37209,1.36658,1.37881,0.296987,0,12.2275,1.36613,0,1.28834,0.072608,0,1,matrix,f32,0.943339
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,transpose,2048,f32,1,8,16,16777216,1,1.37062,1.3663,1.37278,0.231169,0,12.2406,1.3649,0,1.28704,0.067232,0,1,matrix,f32,0.943031
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,2048,f32,1,8,4,4194304,4,1.93783,1.82154,2.03961,4.55667,0,8.65774,1.93187,1.55132,1.35957,0,0,1,matrix,f32,0.701965
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,2048,f32,1,8,4,4194304,4,1.81371,1.65769,2.01936,9.20686,1,9.25023,1.80715,1.33918,1.38243,0.080608,0,1,matrix,f32,0.778703
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,blocked_transpose,2048,f32,1,8,4,4194304,4,1.39238,1.38755,1.40589,0.309406,0,12.0493,1.38677,0,1.29768,0.07952,0,1,matrix,f32,0.936098
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,blocked_transpose,2048,f32,1,8,4,4194304,4,1.33579,1.33243,1.34076,0.464901,0,12.5598,1.33064,0,1.29666,0.097136,0,1,matrix,f32,0.974564
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,2048,f32,1,8,16,16777216,1,2.80061,2.78133,2.81839,0.49796,0,5.99055,2.79285,1.47998,1.30141,0,0,1,matrix,f32,0.465763
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,2048,f32,1,8,16,16777216,1,2.88481,2.86446,2.91288,0.551606,0,5.81571,2.87739,1.48202,1.30314,0.076,0,1,matrix,f32,0.453308
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,blocked_transpose,2048,f32,1,8,16,16777216,1,1.37428,1.37323,1.38031,0.103753,0,12.208,1.36918,0,1.28816,0.075888,0,1,matrix,f32,0.94102
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,blocked_transpose,2048,f32,1,8,16,16777216,1,1.37362,1.37211,1.37837,0.0867761,0,12.2139,1.3688,0,1.28698,0.072736,0,1,matrix,f32,0.940216
