machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire,h2d_occupancy
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose,2048,f32,1,8,4,4194304,4,4.19442,4.03141,4.52234,5.65294,1,3.99989,4.56688,3.92163,0.638816,0,0,1,matrix,f32,0.139816
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose,2048,f32,1,8,4,4194304,4,1.05088,0.978375,1.17064,8.77225,1,15.9649,1.11922,0.702736,0.69712,0.04752,0,1,matrix,f32,0.631077
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose,2048,f32,1,8,4,4194304,4,0.725012,0.684897,0.776917,2.96488,0,23.1406,0.733696,0,0.669744,0.050816,0,1,matrix,f32,0.913928
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_pipelined,transpose,2048,f32,1,8,4,4194304,4,0.687465,0.677176,0.70749,1.92995,0,24.4045,0.714096,0,0.64808,0.117712,0,1,matrix,f32,0.906248
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose,2048,f32,1,8,16,16777216,1,2.53505,2.41989,3.56566,22.764,1,6.6181,2.75878,1.91336,0.629488,0,0,1,matrix,f32,0.228206
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose,2048,f32,1,8,16,16777216,1,1.33096,1.26266,1.36509,3.50294,0,12.6054,1.41582,0.607739,0.675088,0.060384,0,1,matrix,f32,0.474314
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose,2048,f32,1,8,16,16777216,1,0.701946,0.663284,0.731665,4.94785,0,23.901,0.724272,0,0.654848,0.054784,0,1,matrix,f32,0.909614
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_pipelined,transpose,2048,f32,1,8,16,16777216,1,0.670696,0.651307,0.70258,2.63853,0,25.0146,0.692976,0,0.62944,0.01624,0,1,matrix,f32,0.910631
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose,4096,f32,1,8,4,4194304,16,19.1492,18.3563,20.0327,4.1493,0,3.50452,21.0692,18.475,2.57256,0,0,1,matrix,f32,0.12258
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose,4096,f32,1,8,4,4194304,16,3.75684,3.60785,4.74716,10.1861,1,17.8631,4.10366,2.96488,2.62573,0.265008,0,1,matrix,f32,0.64123
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose,4096,f32,1,8,4,4194304,16,2.65996,2.63079,2.72336,1.40056,0,25.2293,2.88446,0,2.58301,0.272208,0,1,matrix,f32,0.89593
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_pipelined,transpose,4096,f32,1,8,4,4194304,16,2.44578,2.42049,2.48569,1.3476,0,27.4387,2.64918,0,2.55451,0.473088,0,1,matrix,f32,0.964998
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose,4096,f32,1,8,16,16777216,4,13.8917,12.8006,15.195,9.05496,1,4.83085,15.2668,13.1551,2.52326,0,0,1,matrix,f32,0.165352
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose,4096,f32,1,8,16,16777216,4,3.48758,3.40162,3.60937,2.50155,0,19.2422,3.81133,2.45845,2.58643,0.268944,0,1,matrix,f32,0.681724
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose,4096,f32,1,8,16,16777216,4,2.63825,2.58115,2.72767,2.53681,0,25.4369,2.8544,0,2.54741,0.274752,0,1,matrix,f32,0.894586
