machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire,h2d_occupancy
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,16384,s8,0.25,1,4,4194304,64,2062.58,2048.32,2266.42,1.99329,0,0.520583,2062.56,2059.68,21.7632,0,0,1,matrix,s8,0.010581
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,nchw_nhwc_quant,16384,s8,0.25,1,4,4194304,256,159.99,159.297,168.04,0.761538,0,6.7113,159.982,147.713,83.7052,8.74742,0,1,matrix,s8,0.523323
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,nchw_nhwc_quant,16384,s8,0.25,1,4,4194304,256,92.0354,92.0257,92.0507,0.00800092,0,11.6666,92.0268,0,82.8747,8.74621,0,1,matrix,s8,0.900554
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,nchw_nhwc_quant,16384,s8,0.25,1,4,4194304,256,83.4192,83.4084,83.4364,0.0102994,0,12.8716,83.4111,0,82.9568,11.5515,0,1,matrix,s8,0.994543
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,16384,s8,0.25,1,16,16777216,16,2055.11,2047.64,2139.68,2.18918,0,0.522474,2055.1,2053.11,20.8586,0,0,1,matrix,s8,0.0101569
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,nchw_nhwc_quant,16384,s8,0.25,1,16,16777216,64,108.151,107.898,108.882,0.401776,0,9.92816,108.143,96.0154,83.0622,8.79278,0,1,matrix,s8,0.768026
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,nchw_nhwc_quant,16384,s8,0.25,1,16,16777216,64,91.2057,91.1965,91.2176,0.00532147,0,11.7727,91.1974,0,82.3,8.79302,0,1,matrix,s8,0.902437
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,nchw_nhwc_quant,16384,s8,0.25,1,16,16777216,64,82.589,82.5827,82.5995,0.0070057,0,13.001,82.5824,0,82.3273,9.76582,0,1,matrix,s8,0.996919
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,16384,s8,0.25,1,64,67108864,4,2053.63,2050.81,2143.63,0.446358,0,0.522852,2053.61,2048.29,20.6141,0,0,1,matrix,s8,0.0100377
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,nchw_nhwc_quant,16384,s8,0.25,1,64,67108864,16,109.481,109.294,110.219,0.232029,0,9.8076,109.471,94.9855,82.2745,8.79362,0,1,matrix,s8,0.751615
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,nchw_nhwc_quant,16384,s8,0.25,1,64,67108864,16,90.9867,90.9812,90.9953,0.00749857,0,11.8011,90.9783,0,82.1557,8.7937,0,1,matrix,s8,0.903035
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,nchw_nhwc_quant,16384,s8,0.25,1,64,67108864,16,82.7706,82.7574,82.779,0.0101007,0,12.9725,82.7628,0,82.1694,9.07722,0,1,matrix,s8,0.992841
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,16384,s8,0.25,1,256,268435456,1,2067.07,2065.95,2138.47,0.431581,0,0.519452,2067.05,2046.49,20.5498,0,0,1,matrix,s8,0.00994304
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,nchw_nhwc_quant,16384,s8,0.25,1,256,268435456,4,125.616,125.434,126.311,0.15784,0,8.5478,125.607,96.1511,82.0902,8.79282,0,1,matrix,s8,0.653546
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,nchw_nhwc_quant,16384,s8,0.25,1,256,268435456,4,90.9304,90.9185,90.9402,0.00625541,0,11.8084,90.9229,0,82.119,8.79408,0,1,matrix,s8,0.903173
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,nchw_nhwc_quant,16384,s8,0.25,1,256,268435456,4,84.3541,84.3447,84.3646,0.0107104,0,12.729,84.3476,0,82.1275,8.89107,0,1,matrix,s8,0.973677
