# config.machine: 7800x3d-4070tis
# config.bin: ./bench-rtrack
# config.numactl: 
# config.transforms: rsweep
# config.methods: all
# config.n: 2048; 4096; 8192; 16384
# config.chunk_mib: 4; 16; 64; 256
# config.threads: 8
# config.warmup: 5
# config.iters: 30
# config.out_csv: bench/results/bp_rsweep_7800x3d-4070tis.csv
# calibration.timestamp: 2026-08-11T22:08:14+0900
# calibration.hostname: JueonAtHome
# calibration.kernel: Linux JueonAtHome 6.18.33.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun 18 21:54:43 UTC 2026 x86_64
# calibration.cpu_model: AMD Ryzen 7 7800X3D 8-Core Processor
# calibration.governors: 
# calibration.transparent_hugepage: always [madvise] never
# calibration.numactl_available: False
# calibration.cuda_toolkit: nvcc: NVIDIA (R) Cuda compiler driver Copyright (c) 2005-2026 NVIDIA Corporation Built on Thu_Mar_19_11:12:51_PM_PDT_2026 Cuda compilation tools, release 13.2, V13.2.78 Build cuda_13.2.r13.2/compiler.37668154_0
# calibration.gpus: {'name': 'NVIDIA GeForce RTX 4070 Ti SUPER', 'driver': '595.79', 'pcie_gen_current_idle': '4', 'pcie_gen_max': '4', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '2610 MHz', 'clocks_mem': '10251 MHz'}
# calibration.pcie_under_load.gen: 4
# calibration.pcie_under_load.width: 16
# calibration.triad_gbps: 39.87
# calibration.nvbandwidth: None
# calibration.notes: cpufreq governors unreadable; nvbandwidth not installed
machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire,h2d_occupancy
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,1,8,4,4194304,4,1.10819,0.880935,1.18834,3.91559,0,15.1393,1.14851,0.815046,0.640448,0,0,1,rsweep,f32,0.560064
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,2048,f32,1,8,4,4194304,4,1.16025,1.00328,1.28913,6.3791,1,14.46,1.24509,0.705266,0.7204,0.081984,0,1,rsweep,f32,0.588991
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,2048,f32,1,8,4,4194304,4,0.721429,0.697652,0.77248,5.56264,1,23.2555,0.761632,0,0.66736,0.080032,0,1,rsweep,f32,0.87214
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_pipelined,blocked_transpose,2048,f32,1,8,4,4194304,4,0.686601,0.677774,0.799449,3.1164,0,24.4352,0.69848,0,0.637568,0.078848,0,1,rsweep,f32,0.914007
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,1,8,16,16777216,1,0.821249,0.775985,0.874756,3.58186,0,20.4289,0.830992,0.166622,0.630192,0,0,1,rsweep,f32,0.76226
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,2048,f32,1,8,16,16777216,1,1.33337,1.29206,1.36897,2.93608,0,12.5826,1.41619,0.589525,0.66848,0.083472,0,1,rsweep,f32,0.465839
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,2048,f32,1,8,16,16777216,1,0.719325,0.692649,0.753576,2.59177,0,23.3236,0.753632,0,0.657392,0.084224,0,1,rsweep,f32,0.871048
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_pipelined,blocked_transpose,2048,f32,1,8,16,16777216,1,0.725776,0.686777,0.767166,4.73111,0,23.1162,0.720896,0,0.6284,0.04472,0,1,rsweep,f32,0.875605
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,0.5,8,4,4194304,2,0.785882,0.676345,0.869671,7.14782,1,21.3482,0.814592,0.366505,0.397632,0,0.099504,1,rsweep,f16,0.47407
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,0.5,8,16,8388608,1,0.684008,0.632817,0.757248,8.44157,1,24.5278,0.68352,0.23195,0.357248,0,0.054928,1,rsweep,f16,0.511705
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,0.25,8,4,4194304,1,0.464435,0.383315,0.541363,11.2009,1,36.124,0.443216,0.149655,0.199856,0,0.058864,1,rsweep,s8,0.434642
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,0.125,8,4,2097152,1,0.439613,0.401876,0.597207,12.4388,1,38.1636,0.40632,0.163805,0.125168,0,0.075584,1,rsweep,s4,0.308546
