# config.machine: epyc7351-2080ti
# config.bin: ./bench-rtrack
# config.numactl: 
# config.transforms: rsweep
# config.methods: all
# config.n: 2048; 4096; 8192; 16384
# config.chunk_mib: 4; 16; 64; 256
# config.threads: 8
# config.warmup: 5
# config.iters: 30
# config.out_csv: bench/results/bp_rsweep_epyc7351-2080ti.csv
# calibration.timestamp: 2026-08-10T17:20:52+0900
# calibration.hostname: rebel-gpu1
# calibration.kernel: Linux rebel-gpu1 6.8.0-124-generic #124~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue May 26 21:05:19 UTC  x86_64
# calibration.cpu_model: AMD EPYC 7351 16-Core Processor
# calibration.governors: performance
# calibration.transparent_hugepage: always [madvise] never
# calibration.numactl_available: False
# calibration.cuda_toolkit: None
# calibration.gpus: {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}
# calibration.pcie_under_load.gen: 3
# calibration.pcie_under_load.width: 16
# calibration.triad_gbps: 25.9
# calibration.nvbandwidth: None
# calibration.notes: nvbandwidth not installed
machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire,h2d_occupancy
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,2048,f32,1,8,4,4194304,4,1.68248,1.55657,1.85883,6.70117,1,9.97174,1.67578,1.30435,1.33954,0,0,1,rsweep,f32,0.800604
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,2048,f32,1,8,4,4194304,4,1.74791,1.69148,1.82634,2.25927,0,9.59844,1.74144,1.22853,1.35846,0.103248,0,1,rsweep,f32,0.78129
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,blocked_transpose,2048,f32,1,8,4,4194304,4,1.41961,1.41656,1.42384,0.137078,0,11.8182,1.41312,0,1.29846,0.103584,0,1,rsweep,f32,0.918672
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,blocked_transpose,2048,f32,1,8,4,4194304,4,1.34774,1.34612,1.35035,0.115429,0,12.4484,1.34187,0,1.29781,0.125488,0,1,rsweep,f32,0.967192
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,2048,f32,1,8,16,16777216,1,2.80111,2.77689,2.87189,1.31483,0,5.98949,2.7933,1.47813,1.30038,0,0,1,rsweep,f32,0.466067
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,2048,f32,1,8,16,16777216,1,2.89056,2.86277,2.97424,1.37998,0,5.80414,2.88349,1.48687,1.30266,0.078528,0,1,rsweep,f32,0.452082
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,blocked_transpose,2048,f32,1,8,16,16777216,1,1.37747,1.37634,1.38389,0.0605103,0,12.1797,1.37216,0,1.28806,0.07904,0,1,rsweep,f32,0.938678
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,blocked_transpose,2048,f32,1,8,16,16777216,1,1.37643,1.37287,1.37977,0.0663069,0,12.189,1.37149,0,1.28707,0.074496,0,1,rsweep,f32,0.938428
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,2048,f32,0.5,8,4,4194304,2,2.05039,1.87191,2.283,6.14458,1,8.18245,2.04368,1.61573,0.733568,0,0.05368,1,rsweep,f16,0.363912
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,2048,f32,0.5,8,16,8388608,1,3.17766,3.15428,3.24347,0.757165,0,5.27974,3.17059,2.4434,0.66208,0,0.054256,1,rsweep,f16,0.208873
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,2048,f32,0.25,8,4,4194304,1,5.56905,5.55155,5.59179,0.205133,0,3.01258,5.56234,5.16955,0.33432,0,0.047216,1,rsweep,s8,0.0601283
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,2048,f32,0.125,8,4,2097152,1,5.76246,5.5331,5.78218,2.84422,0,2.91147,5.75552,5.50317,0.176736,0,0.062496,1,rsweep,s4,0.0307725
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,2048,f32,1,8,4,4194304,4,1.79993,1.65613,1.94697,5.82363,1,9.32104,1.79363,1.40988,1.37736,0,0,1,rsweep,f32,0.775585
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,quant,2048,f32,1,8,4,4194304,4,1.80219,1.63511,1.94844,8.09706,1,9.30933,1.79586,1.4167,1.37086,0.001568,0,1,rsweep,f32,0.771865
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,quant,2048,f32,1,8,4,4194304,4,1.31268,1.31203,1.3146,0.0402485,0,12.7809,1.30707,0,1.29566,0.00184,0,1,rsweep,f32,0.991212
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,quant,2048,f32,1,8,4,4194304,4,1.30941,1.30849,1.31157,0.0335757,0,12.8128,1.30371,0,1.29587,0,0,1,rsweep,f32,0.993988
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,2048,f32,1,8,16,16777216,1,2.78728,2.77361,2.8805,0.817204,0,6.0192,2.78,1.46671,1.30093,0,0,1,rsweep,f32,0.468017
