machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire,h2d_occupancy
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,0.125,8,4,2097152,1,0.447743,0.408076,0.479705,7.56808,1,37.4707,0.429568,0.186984,0.131136,0,0.069728,1,rsweep,s4,0.305518
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,4096,f32,0.125,8,4,4194304,2,1.30377,1.17433,1.48967,7.88468,1,51.4731,1.29309,0.859998,0.38064,0,0.23568,1,rsweep,s4,0.297076
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,4096,f32,0.125,8,16,8388608,1,1.35602,1.30725,1.43016,3.6646,0,49.4895,1.34603,0.747419,0.357712,0,0.207344,1,rsweep,s4,0.261461
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,8192,f32,0.125,8,4,4194304,8,5.78856,5.64378,6.17751,4.63321,0,46.3734,6.29811,5.10325,1.53827,0,1.174,1,rsweep,s4,0.245411
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,8192,f32,0.125,8,16,16777216,2,7.1764,6.97416,7.55394,1.67918,0,37.4053,7.78854,6.00291,1.3388,0,0.916016,1,rsweep,s4,0.172076
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,8192,f32,0.125,8,64,33554432,1,9.57745,9.3764,9.82726,1.7196,0,28.0279,10.416,7.57418,1.26963,0,0.810832,1,rsweep,s4,0.12257
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,0.25,8,4,4194304,1,0.482312,0.412254,0.547831,8.3629,1,34.785,0.44888,0.1546,0.202,0,0.055728,1,rsweep,s8,0.451141
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,4096,f32,0.25,8,4,4194304,4,1.63119,1.43348,1.79298,9.00378,1,41.141,1.70986,0.970237,0.80008,0,0.325888,1,rsweep,s8,0.469249
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,4096,f32,0.25,8,16,16777216,1,1.38443,1.33684,1.45258,4.44013,0,48.474,1.46005,0.55517,0.643248,0,0.184032,1,rsweep,s8,0.445831
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,8192,f32,0.25,8,4,4194304,16,7.46727,6.74244,8.36487,11.6379,1,35.9482,8.25344,5.83133,3.24811,0,1.36254,1,rsweep,s8,0.398145
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,8192,f32,0.25,8,16,16777216,4,6.52585,6.2325,6.80337,1.92591,0,41.1342,7.21757,5.54525,2.63541,0,0.934496,1,rsweep,s8,0.366487
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,8192,f32,0.25,8,64,67108864,1,8.98899,8.66783,9.22219,2.74995,0,29.8627,9.94286,6.04923,2.5176,0,0.6108,1,rsweep,s8,0.256036
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,0.5,8,4,4194304,2,0.806266,0.777042,0.886607,5.74661,1,20.8085,0.819584,0.36181,0.4028,0,0.103888,1,rsweep,f16,0.490077
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,0.5,8,16,8388608,1,0.669472,0.598338,0.693875,2.21697,0,25.0604,0.669024,0.224353,0.357872,0,0.05448,1,rsweep,f16,0.52277
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,4096,f32,0.5,8,4,4194304,8,3.10079,2.62136,3.5332,13.27,1,21.6425,3.38534,1.97801,1.58862,0,0.54656,1,rsweep,f16,0.466189
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,4096,f32,0.5,8,16,16777216,2,2.57729,2.41129,2.81031,4.82409,0,26.0386,2.82573,1.77664,1.32243,0,0.253408,1,rsweep,f16,0.466379
