machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire,h2d_occupancy
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,16384,f32,1,8,4,4194304,256,2055.01,1975.63,2168.85,3.3137,0,0.5225,2055,2050,84.4574,0,0,1,rsweep,f32,0.041115
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,nchw_nhwc_quant,16384,f32,1,8,4,4194304,256,96.8463,94.8214,106.149,10.118,1,11.0871,96.8388,83.7659,86.9052,6.3063,0,1,rsweep,f32,0.899309
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,nchw_nhwc_quant,16384,f32,1,8,4,4194304,256,89.6275,89.6198,89.637,0.00910847,0,11.9801,89.6205,0,82.8828,6.30315,0,1,rsweep,f32,0.924833
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,nchw_nhwc_quant,16384,f32,1,8,4,4194304,256,83.4026,83.3751,83.4112,0.0159641,0,12.8742,83.3953,0,82.9364,8.60728,0,1,rsweep,f32,0.994532
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,16384,f32,1,8,16,16777216,64,705.364,693.446,728.381,1.94498,0,1.52225,705.355,700.976,83.4974,0,0,1,rsweep,f32,0.118367
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,nchw_nhwc_quant,16384,f32,1,8,16,16777216,64,132.361,132.088,133.871,0.247148,0,8.11221,132.353,122.197,104.234,6.30374,0,1,rsweep,f32,0.787549
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,nchw_nhwc_quant,16384,f32,1,8,16,16777216,64,88.7186,88.712,88.7278,0.00690839,0,12.1028,88.7106,0,82.302,6.30301,0,1,rsweep,f32,0.927781
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,nchw_nhwc_quant,16384,f32,1,8,16,16777216,64,82.5363,82.5298,82.5464,0.00830487,0,13.0093,82.53,0,82.3193,6.90792,0,1,rsweep,f32,0.997464
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,16384,f32,1,8,64,67108864,16,379.18,376.708,389.968,0.59542,0,2.83175,379.17,373.312,82.3563,0,0,1,rsweep,f32,0.217207
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,nchw_nhwc_quant,16384,f32,1,8,64,67108864,16,100.687,100.491,101.362,0.158903,0,10.6642,100.68,88.5953,85.1716,6.30298,0,1,rsweep,f32,0.846608
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,nchw_nhwc_quant,16384,f32,1,8,64,67108864,16,88.5427,88.5022,88.5758,0.0141637,0,12.1268,88.535,0,82.1586,6.34654,0,1,rsweep,f32,0.927994
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,nchw_nhwc_quant,16384,f32,1,8,64,67108864,16,82.606,82.5975,82.6167,0.00626121,0,12.9984,82.5994,0,82.1674,6.52208,0,1,rsweep,f32,0.994778
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,16384,f32,1,8,256,268435456,4,380.785,370.736,387.929,2.13743,0,2.81981,380.776,360.077,82.1065,0,0,1,rsweep,f32,0.215631
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,nchw_nhwc_quant,16384,f32,1,8,256,268435456,4,110.442,110.281,111.047,0.196058,0,9.72222,110.434,83.4008,84.4122,6.34725,0,1,rsweep,f32,0.764478
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,nchw_nhwc_quant,16384,f32,1,8,256,268435456,4,88.4877,88.4819,88.499,0.00720622,0,12.1344,88.4807,0,82.1225,6.34792,0,1,rsweep,f32,0.92815
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,nchw_nhwc_quant,16384,f32,1,8,256,268435456,4,83.7373,83.7261,83.7492,0.00399608,0,12.8227,83.7313,0,82.128,6.39587,0,1,rsweep,f32,0.980857
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,16384,f32,0.125,8,4,4194304,32,573.654,571.235,587.009,0.564622,0,1.87176,573.645,570.877,10.984,0,4.92283,1,rsweep,s4,0.0191338
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,16384,f32,0.125,8,16,16777216,8,563.243,552.523,574.756,0.813571,0,1.90636,563.234,560.769,10.4518,0,4.65258,1,rsweep,s4,0.0185616
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,16384,f32,0.125,8,64,67108864,2,508.884,476.235,547.625,6.23435,1,2.10999,508.875,501.311,10.3106,0,4.59494,1,rsweep,s4,0.0202712
