# config.machine: epyc7351-2080ti
# config.bin: bench-rtrack
# config.transforms: all
# config.methods: both
# config.n: 2048; 4096; 8192; 16384
# config.chunk_mib: 4; 16; 64; 256
# config.threads: 8
# config.warmup: 5
# config.iters: 30
# config.out_csv: r1_gen3_nsweep.csv
# calibration.timestamp: 2026-07-20T15:27:08+0900
# calibration.hostname: rebel-gpu1
# calibration.kernel: Linux rebel-gpu1 6.8.0-124-generic #124~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue May 26 21:05:19 UTC  x86_64
# calibration.cpu_model: AMD EPYC 7351 16-Core Processor
# calibration.governors: performance
# calibration.transparent_hugepage: always [madvise] never
# calibration.numactl_available: False
# calibration.cuda_toolkit: None
# calibration.gpus: {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}
# calibration.pcie_under_load.gen: 3
# calibration.pcie_under_load.width: 16
# calibration.triad_gbps: 44.39
# calibration.nvbandwidth: None
# calibration.notes: nvbandwidth not installed
machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,verified
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,2048,f32,1,8,4,4194304,4,36.3532,32.23,37.8895,2.69385,0,0.461506,36.3468,35.943,1.32757,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose,2048,f32,1,8,4,4194304,4,1.73641,1.63436,1.83952,4.10303,0,9.66201,1.72933,1.24092,1.36266,0.072752,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,2048,f32,1,8,16,16777216,1,22.3502,22.2694,22.5131,0.377548,0,0.75065,22.3428,21.0321,1.29906,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose,2048,f32,1,8,16,16777216,1,2.87669,2.85965,2.93103,0.957523,0,5.83212,2.86925,1.47778,1.30253,0.07208,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,2048,f32,1,8,4,4194304,4,2.00712,1.77941,2.15762,6.89356,1,8.35885,2.0005,1.6181,1.41962,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,2048,f32,1,8,4,4194304,4,1.92205,1.73039,2.10438,6.92371,1,8.72882,1.91558,1.42991,1.38725,0.097472,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,2048,f32,1,8,16,16777216,1,2.79919,2.78615,2.86612,0.580942,0,5.9936,2.79163,1.47817,1.30117,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,2048,f32,1,8,16,16777216,1,2.88231,2.86777,2.90471,0.572234,0,5.82075,2.87406,1.47194,1.30278,0.084032,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose_quant,2048,s8,0.25,8,4,4194304,1,18.6577,14.4415,20.8902,26.2587,1,0.89921,18.651,18.3031,0.336512,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose_quant,2048,s8,0.25,8,4,4194304,4,1.96851,1.75641,2.14084,5.56752,1,8.52282,1.96115,1.45211,1.35474,0.115488,1
