# config.machine: epyc7351-2080ti
# config.bin: bench-rtrack
# config.transforms: all
# config.methods: a
# config.n: 8192
# config.chunk_mib: 4; 16; 64; 256
# config.threads: 1; 2; 4
# config.warmup: 5
# config.iters: 30
# config.out_csv: r1_gen3_tsweep.csv
# calibration.timestamp: 2026-07-20T15:27:08+0900
# calibration.hostname: rebel-gpu1
# calibration.kernel: Linux rebel-gpu1 6.8.0-124-generic #124~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue May 26 21:05:19 UTC  x86_64
# calibration.cpu_model: AMD EPYC 7351 16-Core Processor
# calibration.governors: performance
# calibration.transparent_hugepage: always [madvise] never
# calibration.numactl_available: False
# calibration.cuda_toolkit: None
# calibration.gpus: {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}
# calibration.pcie_under_load.gen: 3
# calibration.pcie_under_load.width: 16
# calibration.triad_gbps: 44.39
# calibration.nvbandwidth: None
# calibration.notes: nvbandwidth not installed
machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,verified
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,1,4,4194304,64,1318.21,1316.03,1383.6,0.718214,0,0.203636,1318.2,1316.84,21.0782,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,1,16,16777216,16,1321.42,1318.47,1341.31,0.342311,0,0.203142,1321.41,1319.53,20.8185,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,1,64,67108864,4,1322.21,1321.41,1329.7,0.119267,0,0.20302,1322.2,1316.91,20.5982,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,1,256,268435456,1,1343.52,1334.28,1389.77,0.359489,0,0.199801,1343.51,1322.94,20.5488,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,8192,f32,1,1,4,4194304,64,38.6197,38.5267,39.0036,0.247552,0,6.95074,38.613,37.3712,20.9954,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,8192,f32,1,1,16,16777216,16,39.0653,39.0099,39.1493,0.114985,0,6.87146,39.0575,37.2466,20.7675,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,8192,f32,1,1,64,67108864,4,41.7816,41.7003,41.8342,0.0996592,0,6.42473,41.7737,36.5183,20.567,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,8192,f32,1,1,256,268435456,1,54.2385,54.1771,54.3314,0.0867671,0,4.94917,54.2304,33.6764,20.5419,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose_quant,8192,s8,0.25,1,4,4194304,16,2581.36,2571.63,2594.05,0.0489678,0,0.10399,2581.34,2580.56,5.37477,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose_quant,8192,s8,0.25,1,16,16777216,4,2581.96,2580.95,2585.84,0.0811515,0,0.103966,2581.94,2580.5,5.2177,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose_quant,8192,s8,0.25,1,64,67108864,1,2585.3,2584.28,2604.72,0.0474411,0,0.103831,2585.28,2580.12,5.15358,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,8192,s8,0.25,1,4,4194304,16,22.1219,22.0824,22.1495,0.07697,0,12.1344,22.1141,21.2713,5.40482,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,8192,s8,0.25,1,16,16777216,4,22.4796,22.4452,22.5322,0.120941,0,11.9413,22.4707,21.0612,5.1969,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,8192,s8,0.25,1,64,67108864,1,25.5723,25.5351,25.6054,0.0672436,0,10.4971,25.564,20.4043,5.14906,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,8192,s8,0.25,1,4,4194304,16,554.379,553.503,554.941,0.0221161,0,0.484209,554.369,553.484,5.4232,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,8192,s8,0.25,1,16,16777216,4,554.825,553.208,568.09,0.0198429,0,0.48382,554.815,553.382,5.2095,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,8192,s8,0.25,1,64,67108864,1,558.518,557.523,559.093,0.0250824,0,0.480621,558.508,553.343,5.15187,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,8192,f16,0.5,1,4,4194304,32,25.3455,25.2965,25.4398,0.150789,0,10.591,25.337,24.2009,10.6565,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,8192,f16,0.5,1,16,16777216,8,25.5441,25.4863,25.5968,0.122003,0,10.5087,25.5362,23.9916,10.386,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,8192,f16,0.5,1,64,67108864,2,28.4678,28.4125,28.7272,0.462367,0,9.42944,28.459,23.2707,10.289,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,8192,f16,0.5,1,256,134217728,1,32.7562,32.711,32.8245,0.0884423,0,8.19496,32.7476,22.4528,10.2811,0,1
