# config.machine: 7800x3d-4070tis
# config.bin: ./bench-rtrack
# config.transforms: matrix
# config.methods: both
# config.n: 2048; 4096; 8192; 16384
# config.chunk_mib: 4; 16; 64; 256
# config.threads: 8
# config.warmup: 5
# config.iters: 30
# config.out_csv: bench/results/r2_gen4_matrix_nsweep_7800x3d_4070tis.csv
# calibration.timestamp: 2026-07-23T00:34:22+0900
# calibration.hostname: JueonAtHome
# calibration.kernel: Linux JueonAtHome 6.18.33.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun 18 21:54:43 UTC 2026 x86_64
# calibration.cpu_model: AMD Ryzen 7 7800X3D 8-Core Processor
# calibration.governors: 
# calibration.transparent_hugepage: always [madvise] never
# calibration.numactl_available: False
# calibration.cuda_toolkit: nvcc: NVIDIA (R) Cuda compiler driver Copyright (c) 2005-2026 NVIDIA Corporation Built on Thu_Mar_19_11:12:51_PM_PDT_2026 Cuda compilation tools, release 13.2, V13.2.78 Build cuda_13.2.r13.2/compiler.37668154_0
# calibration.gpus: {'name': 'NVIDIA GeForce RTX 4070 Ti SUPER', 'driver': '595.79', 'pcie_gen_current_idle': '4', 'pcie_gen_max': '4', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '210 MHz', 'clocks_mem': '405 MHz'}
# calibration.pcie_under_load.gen: 4
# calibration.pcie_under_load.width: 16
# calibration.triad_gbps: 35.86
# calibration.nvbandwidth: None
# calibration.notes: cpufreq governors unreadable; nvbandwidth not installed
machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose,2048,f32,1,8,4,4194304,4,4.75165,4.38634,5.33542,7.49686,1,3.53082,4.65429,4.44514,0.64928,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose,2048,f32,1,8,4,4194304,4,1.34665,1.09913,1.4971,16.6123,1,12.4585,1.26872,0.853245,0.6928,0.058336,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose,2048,f32,1,8,16,16777216,1,3.50905,2.65556,4.24107,27.159,1,4.78113,3.43525,2.80611,0.63008,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose,2048,f32,1,8,16,16777216,1,1.47365,1.42072,1.5455,2.89962,0,11.3848,1.40694,0.676174,0.667936,0.05488,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,1,8,4,4194304,4,0.99831,0.936707,1.16303,6.17851,1,16.8056,0.958064,0.715112,0.639424,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,2048,f32,1,8,4,4194304,4,1.23094,1.14932,1.28539,5.51699,1,13.6296,1.18938,0.853677,0.69392,0.075104,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,1,8,16,16777216,1,0.881003,0.824142,0.969737,5.30812,1,19.0433,0.814016,0.172265,0.630192,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,2048,f32,1,8,16,16777216,1,1.4758,1.43418,1.53731,2.31156,0,11.3682,1.42986,0.681068,0.662768,0.081152,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose_quant,2048,s8,0.25,8,4,4194304,1,3.06941,2.74266,4.42408,18.5812,1,5.46594,2.99646,2.85565,0.160816,0,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose_quant,2048,s8,0.25,8,4,4194304,4,1.22533,1.12869,1.28873,6.83772,1,13.692,1.16656,0.858077,0.684944,0.068768,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose_quant,2048,s8,0.25,8,16,16777216,1,1.49428,1.44307,1.58826,3.15418,0,11.2276,1.43958,0.685729,0.667488,0.0716,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,quant,2048,s8,0.25,8,4,4194304,1,0.351955,0.326104,0.430168,9.52701,1,47.6687,0.310368,0.134987,0.161664,0,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,quant,2048,s8,0.25,8,4,4194304,4,1.47165,1.40673,1.6076,7.68157,1,11.4003,1.4233,1.11885,0.681456,0.054832,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,quant,2048,s8,0.25,8,16,16777216,1,1.5503,1.49385,1.64231,5.49963,1,10.8219,1.48941,0.749585,0.667792,0.061488,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,nchw_nhwc_quant,2048,s8,0.25,8,4,4194304,1,2.19833,2.1282,2.5224,4.53113,0,7.63179,2.13123,1.98431,0.16224,0,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,nchw_nhwc_quant,2048,s8,0.25,8,4,4194304,4,1.52124,1.35482,1.68654,7.36633,1,11.0286,1.47038,1.08614,0.681648,0.106176,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,nchw_nhwc_quant,2048,s8,0.25,8,16,16777216,1,1.59995,1.49492,1.66595,3.56358,0,10.4861,1.54402,0.757513,0.66728,0.108464,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,convert_f16,2048,f16,0.5,8,4,4194304,2,0.601385,0.540988,0.785083,12.3678,1,27.8976,0.53808,0.351031,0.328896,0,0,1,matrix,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,convert_f16,2048,f16,0.5,8,4,4194304,4,1.44515,1.3016,1.66335,4.28458,0,11.6093,1.38854,1.10203,0.682064,0.053968,0,1,matrix,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,convert_f16,2048,f16,0.5,8,16,8388608,1,0.50314,0.486921,0.556207,6.04414,1,33.345,0.458096,0.131042,0.317264,0,0,1,matrix,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,convert_f16,2048,f16,0.5,8,16,16777216,1,1.52409,1.44203,1.56048,2.259,0,11.008,1.46842,0.754189,0.668128,0.056672,0,1,matrix,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose,4096,f32,1,8,4,4194304,16,21.8015,20.6099,24.4629,3.37959,0,3.07818,21.4881,20.7781,2.57706,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose,4096,f32,1,8,4,4194304,16,4.21096,3.90569,5.00176,7.87322,1,15.9367,4.12106,3.30022,2.63835,0.254304,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose,4096,f32,1,8,16,16777216,4,14.8255,13.5406,16.8443,7.80363,1,4.5266,14.6001,14.033,2.51918,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose,4096,f32,1,8,16,16777216,4,3.90606,3.76524,4.07595,2.66716,0,17.1807,3.81176,2.79259,2.55981,0.265232,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose,4096,f32,1,8,64,67108864,1,16.4912,12.6677,17.3423,10.1718,1,4.06938,16.2469,13.826,2.50405,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose,4096,f32,1,8,64,67108864,1,5.44721,5.38602,5.5408,1.06447,0,12.3199,5.3335,2.52825,2.54013,0.2728,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,4096,f32,1,8,4,4194304,16,3.91717,3.69548,4.60886,17.4978,1,17.132,3.83691,3.31975,2.56653,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,4096,f32,1,8,4,4194304,16,4.28426,3.8817,4.94453,7.73813,1,15.6641,4.20174,3.41868,2.62134,0.255264,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,4096,f32,1,8,16,16777216,4,3.43196,3.0111,3.6156,4.06087,0,19.5541,3.35102,2.62835,2.51741,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,4096,f32,1,8,16,16777216,4,4.1018,3.93578,4.33752,2.27682,0,16.3608,3.84098,3.00977,2.56875,0.259152,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,4096,f32,1,8,64,67108864,1,4.93822,4.7158,5.46937,6.23546,1,13.5897,4.64136,2.2379,2.50352,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,4096,f32,1,8,64,67108864,1,5.67727,5.58554,5.85719,1.50887,0,11.8206,5.34835,2.64004,2.5435,0.264144,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose_quant,4096,s8,0.25,8,4,4194304,4,16.6954,14.4934,18.6999,9.54488,1,4.01961,15.8292,16.3452,0.641264,0,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose_quant,4096,s8,0.25,8,4,4194304,16,4.65417,4.1822,5.38872,15.59,1,14.4191,4.38722,3.61341,2.61797,0.39944,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose_quant,4096,s8,0.25,8,16,16777216,1,17.0953,13.5718,19.5761,18.5864,1,3.92558,16.191,16.3204,0.632304,0,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose_quant,4096,s8,0.25,8,16,16777216,4,4.25051,4.07858,4.66,3.84195,0,15.7884,3.98746,2.96867,2.55968,0.404176,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose_quant,4096,s8,0.25,8,64,67108864,1,5.86104,5.73286,6.05496,1.97039,0,11.45,5.48864,2.65543,2.54429,0.406416,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,quant,4096,s8,0.25,8,4,4194304,4,1.23172,1.16861,1.32631,5.58546,1,54.4838,1.13718,0.864457,0.649104,0,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,quant,4096,s8,0.25,8,4,4194304,16,4.29652,4.02935,4.56323,4.71909,0,15.6194,4.04667,3.35587,2.66408,0.17896,0,1,matrix,s8
