machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.5,8,4,8388608,64,89.654,84.4683,95.5318,7.66182,1,11.9765,87.3169,83.8088,23.2423,0,9.07325,1,rsweep,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.5,8,16,16777216,32,68.0596,65.2225,73.5766,4.96584,0,15.7765,66.3706,63.8615,21.846,0,4.87698,1,rsweep,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.5,8,64,67108864,8,102.419,97.4399,107.455,5.33959,1,10.4838,99.9966,98.1813,22.7447,0,4.02022,1,rsweep,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.5,8,256,268435456,2,130.548,128.268,133.622,1.39057,0,8.22486,127.438,118.323,21.8496,0,3.05475,1,rsweep,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.25,8,4,4194304,64,58.3687,50.8149,67.4909,14.3895,1,18.3959,56.9718,50.9555,12.9613,0,9.16773,1,rsweep,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.25,8,16,16777216,16,34.2672,32.0451,36.0929,5.07862,1,31.3344,33.4218,31.7486,10.8426,0,3.38494,1,rsweep,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.25,8,64,67108864,4,42.2356,41.1548,44.2271,2.79187,0,25.4227,41.2046,38.4953,10.6917,0,2.88512,1,rsweep,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.25,8,256,268435456,1,48.9685,47.6439,54.183,5.84759,1,21.9272,47.747,35.6232,10.0613,0,2.38243,1,rsweep,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.125,8,4,4194304,32,42.3775,37.9906,46.2481,6.01005,1,25.3375,41.0751,37.703,6.59286,0,4.95424,1,rsweep,s4
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.125,8,16,16777216,8,34.9942,33.9666,37.1736,2.57671,0,30.6834,34.095,33.0785,5.40355,0,4.00147,1,rsweep,s4
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.125,8,64,67108864,2,53.1842,50.9321,56.4571,2.4366,0,20.1891,51.8921,48.3119,5.26325,0,3.48691,1,rsweep,s4
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.125,8,256,134217728,1,56.2207,54.903,62.3101,2.59491,0,19.0987,54.8602,47.3682,5.04688,0,3.22646,1,rsweep,s4
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,quant,16384,f32,0.125,8,4,4194304,32,32.0624,31.2297,33.2944,2.647,0,33.4892,31.2854,28.8445,6.53282,0,8.13037,1,rsweep,s4
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,quant,16384,f32,0.125,8,16,16777216,8,34.1755,32.1539,37.5305,4.57653,0,31.4185,33.1376,32.1286,5.52952,0,5.05699,1,rsweep,s4
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,quant,16384,f32,0.125,8,64,67108864,2,50.7224,48.766,53.6734,4.61929,0,21.169,49.4478,46.0933,5.24014,0,3.47862,1,rsweep,s4
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,quant,16384,f32,0.125,8,256,134217728,1,54.9174,53.487,59.2657,3.09875,0,19.5519,53.5868,45.6084,5.04654,0,3.316,1,rsweep,s4
