# r7 e2e overlap session 2026-09-22T04:08:00Z
# post_freeze: true (2026-09-02 freeze; R7 = pre-declared W8 addendum, #73 comment)
# governor: performance (cpupower binary not installed on this box; scaling_governor sysfs already read 'performance' on all pinned cores, no change made)
# persistence: Enabled (already Enabled pre-session; sudo nvidia-smi -pm 1 re-confirmed)
# gpu: NVIDIA GeForce RTX 2080 Ti
# pinned: numactl --physcpubind=4-7,20-23 --membind=1 (CORRECTED from brief's --membind=0: die/node 0 has 0 MB local DRAM per docs/m0-2080ti-bringup.md and numactl --hardware; GPU0's die is node 1 with 62 GiB local DRAM; cgroup cpuset.mems also restricts to 1,3. Literal --membind=0 fails with 'node argument 0 is out of range', exit 1, no rows.)
# binary: standalone nvcc sm_75 (bench/rtrack/README.md R7 recipe), rebuilt from HEAD 843a567
machine,gpu,method,transform,N,r,threads,chunk_req_mib,n_chunks,layers,gemm_batch,repeats,measured_C,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,load_only_ms,compute_only_ms,delta_ms,exposed_load_ms,verified,post_freeze
epyc7351-2080ti,2080ti,compute_only,blocked_transpose,8192,1,8,0,0,16,1024,2,0,347.266,344.798,348.816,0.772041,0,0,347.266,0,0,1,1
epyc7351-2080ti,2080ti,compute_bare,blocked_transpose,8192,1,8,0,0,16,1024,2,0,351.786,349.758,353.965,0.360624,0,0,351.786,0,0,1,1
epyc7351-2080ti,2080ti,compute_only,blocked_transpose,8192,1,8,0,0,16,1024,3,0,538.323,532.162,541.173,0.640006,0,0,538.323,0,0,1,1
epyc7351-2080ti,2080ti,compute_bare,blocked_transpose,8192,1,8,0,0,16,1024,3,0,545.505,542.104,550.011,0.714454,0,0,545.505,0,0,1,1
epyc7351-2080ti,2080ti,compute_only,blocked_transpose,8192,1,8,0,0,16,1024,7,0,1292.99,1283.1,1295.61,0.36145,0,0,1292.99,0,0,1,1
epyc7351-2080ti,2080ti,compute_bare,blocked_transpose,8192,1,8,0,0,16,1024,7,0,1297.23,1294.18,1299.51,0.106486,0,0,1297.23,0,0,1,1
epyc7351-2080ti,2080ti,compute_only,blocked_transpose,8192,1,8,0,0,16,1024,13,0,2419.63,2413.62,2421.94,0.0871921,0,0,2419.63,0,0,1,1
epyc7351-2080ti,2080ti,compute_bare,blocked_transpose,8192,1,8,0,0,16,1024,13,0,2421.31,2419.5,2423.04,0.0507028,0,0,2421.31,0,0,1,1
epyc7351-2080ti,2080ti,a_load_only,blocked_transpose,8192,1,8,16,16,16,1024,0,0,517.082,513.659,519.777,0.45132,0,517.082,0,0,0,1,1
epyc7351-2080ti,2080ti,a,blocked_transpose,8192,1,8,16,16,16,1024,2,0.671589,536.495,533.458,538.993,0.50723,0,517.082,347.266,19.4131,189.228,1,1
