# r7 e2e overlap session 2026-09-22T01:24:45Z
# post_freeze: true (2026-09-02 freeze; R7 = pre-declared W8 addendum, #73 comment)
# governor: performance (cpupower binary not installed on this box; scaling_governor sysfs already read 'performance' on all pinned cores, no change made)
# persistence: Enabled (already Enabled pre-session; sudo nvidia-smi -pm 1 re-confirmed)
# gpu: NVIDIA GeForce RTX 2080 Ti
# pinned: numactl --physcpubind=4-7,20-23 --membind=1 (CORRECTED from brief's --membind=0: die/node 0 has 0 MB local DRAM per docs/m0-2080ti-bringup.md and numactl --hardware; GPU0's die is node 1 with 62 GiB local DRAM; cgroup cpuset.mems also restricts to 1,3. Literal --membind=0 fails with 'node argument 0 is out of range', exit 1, no rows.)
# binary: standalone nvcc sm_75 (bench/rtrack/README.md R7 recipe), rebuilt from HEAD 843a567
machine,gpu,method,transform,N,r,threads,chunk_req_mib,n_chunks,layers,gemm_batch,repeats,measured_C,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,load_only_ms,compute_only_ms,delta_ms,exposed_load_ms,verified,post_freeze
epyc7351-2080ti,2080ti,compute_only,quant,8192,0.25,8,0,0,16,1024,2,0,89.3766,88.383,90.6821,0.825037,0,0,89.3766,0,0,1,1
epyc7351-2080ti,2080ti,compute_bare,quant,8192,0.25,8,0,0,16,1024,2,0,89.966,89.4614,90.5885,0.439279,0,0,89.966,0,0,1,1
epyc7351-2080ti,2080ti,compute_only,quant,8192,0.25,8,0,0,16,1024,4,0,181.555,179.881,181.973,0.319214,0,0,181.555,0,0,1,1
epyc7351-2080ti,2080ti,compute_bare,quant,8192,0.25,8,0,0,16,1024,4,0,182.217,181.324,183.847,0.678154,0,0,182.217,0,0,1,1
epyc7351-2080ti,2080ti,compute_only,quant,8192,0.25,8,0,0,16,1024,9,0,416.951,412.936,418.835,0.940813,0,0,416.951,0,0,1,1
epyc7351-2080ti,2080ti,compute_bare,quant,8192,0.25,8,0,0,16,1024,9,0,421.777,420.737,422.744,0.191772,0,0,421.777,0,0,1,1
epyc7351-2080ti,2080ti,compute_only,quant,8192,0.25,8,0,0,16,1024,17,0,803.131,800.687,804.556,0.20405,0,0,803.131,0,0,1,1
epyc7351-2080ti,2080ti,compute_bare,quant,8192,0.25,8,0,0,16,1024,17,0,804.993,803.695,805.511,0.0827673,0,0,804.993,0,0,1,1
epyc7351-2080ti,2080ti,a_load_only,quant,8192,0.25,8,4,16,16,1024,0,0,224.221,223.846,224.733,0.118504,0,224.221,0,0,0,1,1
epyc7351-2080ti,2080ti,a,quant,8192,0.25,8,4,16,16,1024,2,0.39861,229.655,229.489,230.042,0.0919622,0,224.221,89.3766,5.4345,140.279,1,1
epyc7351-2080ti,2080ti,a,quant,8192,0.25,8,4,16,16,1024,4,0.809717,236.148,235.798,236.463,0.124212,0,224.221,181.555,11.927,54.5924,1,1
epyc7351-2080ti,2080ti,a,quant,8192,0.25,8,4,16,16,1024,9,1.85956,434.115,433.451,434.751,0.141828,0,224.221,416.951,17.1639,17.1639,1,1
epyc7351-2080ti,2080ti,a,quant,8192,0.25,8,4,16,16,1024,17,3.58188,815.928,813.094,817.7,0.129612,0,224.221,803.131,12.7967,12.7967,1,1
epyc7351-2080ti,2080ti,a_load_only,quant,8192,0.25,8,16,4,16,1024,0,0,218.766,218.602,219.064,0.104086,0,218.766,0,0,0,1,1
epyc7351-2080ti,2080ti,a,quant,8192,0.25,8,16,4,16,1024,2,0.408548,224.375,224.153,225.103,0.0869396,0,218.766,89.3766,5.60822,134.998,1,1
epyc7351-2080ti,2080ti,a,quant,8192,0.25,8,16,4,16,1024,4,0.829905,230.801,230.495,231.799,0.152511,0,218.766,181.555,12.0349,49.2459,1,1
epyc7351-2080ti,2080ti,a,quant,8192,0.25,8,16,4,16,1024,9,1.90592,434.878,433.768,435.189,0.120691,0,218.766,416.951,17.9269,17.9269,1,1
epyc7351-2080ti,2080ti,a,quant,8192,0.25,8,16,4,16,1024,17,3.67118,817.038,810.434,818.099,0.134414,0,218.766,803.131,13.9068,13.9068,1,1
epyc7351-2080ti,2080ti,b_pipelined_load_only,quant,8192,0.25,8,256,1,16,1024,0,0,329.167,329.158,329.172,0.00165548,0,329.167,0,0,0,1,1
epyc7351-2080ti,2080ti,b_pipelined,quant,8192,0.25,8,256,1,16,1024,2,0.271523,334.204,334.191,334.21,0.00306952,0,329.167,89.3766,5.03632,244.827,1,1
epyc7351-2080ti,2080ti,b_pipelined,quant,8192,0.25,8,256,1,16,1024,4,0.551559,339.34,339.259,339.467,0.024989,0,329.167,181.555,10.1731,157.785,1,1
epyc7351-2080ti,2080ti,b_pipelined,quant,8192,0.25,8,256,1,16,1024,9,1.26668,449.865,449.116,450.756,0.179502,0,329.167,416.951,32.9135,32.9135,1,1
epyc7351-2080ti,2080ti,b_pipelined,quant,8192,0.25,8,256,1,16,1024,17,2.43989,831.998,825.915,833.758,0.193598,0,329.167,803.131,28.867,28.867,1,1
epyc7351-2080ti,2080ti,b_pipelined_load_only,quant,8192,0.25,8,16,16,16,1024,0,0,329.506,329.495,329.511,0.00297276,0,329.506,0,0,0,1,1
epyc7351-2080ti,2080ti,b_pipelined,quant,8192,0.25,8,16,16,16,1024,2,0.271244,334.549,334.529,334.554,0.00355488,0,329.506,89.3766,5.0423,245.172,1,1
epyc7351-2080ti,2080ti,b_pipelined,quant,8192,0.25,8,16,16,16,1024,4,0.550992,339.701,339.616,339.784,0.0229855,0,329.506,181.555,10.1943,158.145,1,1
epyc7351-2080ti,2080ti,b_pipelined,quant,8192,0.25,8,16,16,16,1024,9,1.26538,450.221,448.93,450.9,0.173375,0,329.506,416.951,33.2701,33.2701,1,1
epyc7351-2080ti,2080ti,b_pipelined,quant,8192,0.25,8,16,16,16,1024,17,2.43738,832.652,825.56,834.014,0.816285,0,329.506,803.131,29.5207,29.5207,1,1
epyc7351-2080ti,2080ti,a_prefold_load_only,quant,8192,0.25,8,64,1,16,1024,0,0,82.1302,82.1276,82.1406,0.00272324,0,82.1302,0,0,0,1,1
epyc7351-2080ti,2080ti,a_prefold,quant,8192,0.25,8,64,1,16,1024,2,1.08823,98.5255,98.3055,99.0311,0.117656,0,82.1302,89.3766,9.14886,9.14886,1,1
epyc7351-2080ti,2080ti,a_prefold,quant,8192,0.25,8,64,1,16,1024,4,2.21058,192.756,192.053,193.719,0.24884,0,82.1302,181.555,11.2002,11.2002,1,1
epyc7351-2080ti,2080ti,a_prefold,quant,8192,0.25,8,64,1,16,1024,9,5.07671,429.99,428.521,430.167,0.196212,0,82.1302,416.951,13.0387,13.0387,1,1
epyc7351-2080ti,2080ti,a_prefold,quant,8192,0.25,8,64,1,16,1024,17,9.77876,809.778,808.624,810.209,0.0374011,0,82.1302,803.131,6.64659,6.64659,1,1
epyc7351-2080ti,2080ti,a_serial_load_only,quant,8192,0.25,8,4,16,16,1024,0,0,223.875,223.542,224.225,0.109025,0,223.875,0,0,0,1,1
epyc7351-2080ti,2080ti,a_serial,quant,8192,0.25,8,4,16,16,1024,2,0.399226,305.527,305.335,305.834,0.036824,0,223.875,89.3766,81.6519,216.15,1,1
epyc7351-2080ti,2080ti,a_serial,quant,8192,0.25,8,4,16,16,1024,4,0.810967,384.712,384.494,385.011,0.0522236,0,223.875,181.555,160.837,203.156,1,1
epyc7351-2080ti,2080ti,a_serial,quant,8192,0.25,8,4,16,16,1024,9,1.86243,610.314,608.949,611.719,0.170359,0,223.875,416.951,193.363,193.363,1,1
epyc7351-2080ti,2080ti,a_serial,quant,8192,0.25,8,4,16,16,1024,17,3.58741,986.247,981.117,988.368,0.292297,0,223.875,803.131,183.115,183.115,1,1
