machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,verified
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,8,4,4194304,64,620.247,550.999,727.741,12.5168,1,0.432788,620.238,618.539,21.3311,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose,8192,f32,1,8,4,4194304,64,25.8748,25.3549,26.7062,2.97621,0,10.3744,25.8677,22.3603,22.8532,1.37037,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,8,16,16777216,16,294.417,284.552,326.8,3.36743,0,0.911752,294.409,292.622,20.8509,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose,8192,f32,1,8,16,16777216,16,33.7095,32.8628,34.7055,3.01768,0,7.96321,33.7017,30.3965,27.9352,1.37032,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,8,64,67108864,4,303.386,293.173,344.986,4.20311,0,0.884797,303.376,298.069,20.6132,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose,8192,f32,1,8,64,67108864,4,30.7411,30.6851,31.4217,0.565882,0,8.73213,30.733,14.3687,26.1633,1.3707,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,8,256,268435456,1,297.386,288.606,317.437,1.45839,0,0.902651,297.375,272.338,25.3544,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose,8192,f32,1,8,256,268435456,1,38.7044,38.5802,38.9206,0.467957,0,6.93553,38.6968,16.7505,20.5508,1.37077,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,8192,f32,1,8,4,4194304,64,38.305,38.0112,38.8493,0.960458,0,7.00784,38.297,36.9438,21.0163,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,8192,f32,1,8,4,4194304,64,30.5313,29.2578,31.1786,2.70837,0,8.79213,30.5244,27.19,27.4545,1.1313,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,8192,f32,1,8,16,16777216,16,38.7137,35.2088,41.1881,2.70298,0,6.93386,38.7053,36.8079,24.1316,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,8192,f32,1,8,16,16777216,16,37.526,35.9774,38.4161,2.61005,0,7.15332,37.5187,34.4217,31.6907,1.13499,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,8192,f32,1,8,64,67108864,4,36.3239,36.0932,37.1333,0.86466,0,7.39005,36.3158,30.9228,27.1013,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,8192,f32,1,8,64,67108864,4,28.6128,28.5429,29.077,0.331768,0,9.38165,28.6052,21.7843,23.0347,1.13459,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,8192,f32,1,8,256,268435456,1,50.2387,49.8684,51.0258,0.924133,0,5.3432,50.2303,29.5888,20.6152,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,8192,f32,1,8,256,268435456,1,39.3688,39.2924,39.7636,0.257479,0,6.81848,39.3611,17.6504,20.5511,1.13424,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,8192,s8,0.25,8,4,4194304,16,16.5514,16.1493,16.8916,1.8747,0,16.2183,16.5433,15.9591,8.62725,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,quant,8192,s8,0.25,8,4,4194304,64,28.5978,27.9227,29.6778,2.51102,0,9.38656,28.5903,24.9246,26.8134,0.673392,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,8192,s8,0.25,8,16,16777216,4,18.7347,18.5431,19.7071,2.41669,0,14.3282,18.7276,17.2338,8.41142,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,quant,8192,s8,0.25,8,16,16777216,16,36.8284,36.2693,37.7707,0.956731,0,7.28881,36.8201,34.2178,28.5744,0.673824,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,8192,s8,0.25,8,64,67108864,1,20.7799,20.5151,21.0894,1.4411,0,12.9181,20.7727,15.5763,5.1757,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,quant,8192,s8,0.25,8,64,67108864,4,28.1362,27.9771,28.3244,0.477057,0,9.54057,28.1283,21.5393,23.061,0.6752,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,quant,8192,s8,0.25,8,256,268435456,1,40.2901,38.7234,40.6933,3.75218,0,6.66256,40.2708,19.0386,20.5463,0.674576,1
