# config.machine: epyc7351-2080ti
# config.bin: /tmp/claude-2017/-home-jueonpark-sym/595debf3-ca62-43ba-a9fe-225c7908aed7/scratchpad/bench-rtrack
# config.numactl: 
# config.transforms: all
# config.methods: all
# config.n: 2048; 4096; 8192; 16384
# config.chunk_mib: 4; 16; 64; 256
# config.threads: 8
# config.warmup: 5
# config.iters: 30
# config.out_csv: /tmp/claude-2017/-home-jueonpark-sym/595debf3-ca62-43ba-a9fe-225c7908aed7/scratchpad/v1_gen3_nsweep.csv
# calibration.timestamp: 2026-07-28T10:33:40+0900
# calibration.hostname: rebel-gpu1
# calibration.kernel: Linux rebel-gpu1 6.8.0-124-generic #124~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue May 26 21:05:19 UTC  x86_64
# calibration.cpu_model: AMD EPYC 7351 16-Core Processor
# calibration.governors: performance
# calibration.transparent_hugepage: always [madvise] never
# calibration.numactl_available: False
# calibration.cuda_toolkit: None
# calibration.gpus: {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}
# calibration.pcie_under_load.gen: 3
# calibration.pcie_under_load.width: 16
# calibration.triad_gbps: 26.07
# calibration.nvbandwidth: None
# calibration.notes: nvbandwidth not installed
machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,verified
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,2048,f32,1,8,4,4194304,4,28.8799,27.5504,29.308,0.80178,0,0.58093,28.873,28.4534,1.33653,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose,2048,f32,1,8,4,4194304,4,1.87712,1.72658,2.02747,8.27735,1,8.93772,1.86781,1.41593,1.36707,0.072608,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,transpose,2048,f32,1,8,4,4194304,4,1.38844,1.38575,1.39194,0.152076,0,12.0835,1.3824,0,1.29848,0.072928,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,2048,f32,1,8,16,16777216,1,19.7551,16.8275,22.2463,14.2473,1,0.849259,19.7473,18.4359,1.30133,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose,2048,f32,1,8,16,16777216,1,2.87783,2.85507,2.90065,0.466547,0,5.82982,2.86926,1.47497,1.30275,0.076992,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,transpose,2048,f32,1,8,16,16777216,1,1.37654,1.36909,1.37902,0.131035,0,12.188,1.37011,0,1.28803,0.076896,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,2048,f32,1,8,4,4194304,4,1.84093,1.72152,1.99242,5.75806,1,9.11347,1.83341,1.45495,1.33685,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,2048,f32,1,8,4,4194304,4,1.80091,1.72311,1.90949,3.34729,0,9.31594,1.7936,1.32927,1.34027,0.081744,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,blocked_transpose,2048,f32,1,8,4,4194304,4,1.39082,1.38744,1.39347,0.0808518,0,12.0628,1.38477,0,1.29698,0.077392,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,2048,f32,1,8,16,16777216,1,2.79505,2.76074,2.82095,0.46698,0,6.00247,2.78741,1.47343,1.30139,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,2048,f32,1,8,16,16777216,1,2.87323,2.84472,2.88688,0.431958,0,5.83916,2.86582,1.46832,1.30306,0.081184,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,blocked_transpose,2048,f32,1,8,16,16777216,1,1.38064,1.37326,1.38188,0.0637127,0,12.1517,1.37534,0,1.28821,0.08152,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose_quant,2048,s8,0.25,8,4,4194304,1,20.0302,18.7164,20.5419,7.0712,1,0.837595,20.0243,19.677,0.334768,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose_quant,2048,s8,0.25,8,4,4194304,4,1.89896,1.76068,2.00251,4.50707,0,8.83495,1.89226,1.40728,1.35035,0.113968,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,transpose_quant,2048,s8,0.25,8,4,4194304,4,1.42452,1.42236,1.43079,0.154694,0,11.7774,1.41901,0,1.29747,0.112016,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose_quant,2048,s8,0.25,8,16,16777216,1,2.90651,2.89761,2.93338,0.405219,0,5.77228,2.89979,1.46664,1.30378,0.114176,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,transpose_quant,2048,s8,0.25,8,16,16777216,1,1.41334,1.41104,1.41615,0.0923041,0,11.8706,1.40722,0,1.28829,0.114304,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,2048,s8,0.25,8,4,4194304,1,0.934404,0.848716,0.986918,5.03897,1,17.955,0.928048,0.585009,0.33328,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,quant,2048,s8,0.25,8,4,4194304,4,1.79865,1.67908,1.94099,3.45857,0,9.32765,1.79219,1.37144,1.35411,0.047568,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,quant,2048,s8,0.25,8,4,4194304,4,1.35851,1.3575,1.36555,0.325969,0,12.3497,1.35314,0,1.29714,0.046432,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,quant,2048,s8,0.25,8,16,16777216,1,2.83826,2.82227,2.85547,0.348416,0,5.91109,2.8308,1.46342,1.30317,0.048032,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,quant,2048,s8,0.25,8,16,16777216,1,1.34685,1.34585,1.34886,0.0494283,0,12.4566,1.34138,0,1.28821,0.048304,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,2048,s8,0.25,8,4,4194304,1,8.56723,8.18081,9.08051,5.37472,1,1.9583,8.56042,8.2064,0.343264,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,nchw_nhwc_quant,2048,s8,0.25,8,4,4194304,4,1.96991,1.8206,2.15327,5.70146,1,8.51674,1.95747,1.43767,1.37621,0.14536,1
