# config.machine: 7800x3d-4070tis
# config.bin: ./bench-rtrack
# config.transforms: matrix
# config.methods: all
# config.n: 2048; 4096; 8192; 16384
# config.chunk_mib: 4; 16; 64; 256
# config.threads: 8
# config.warmup: 5
# config.iters: 30
# config.out_csv: bench/results/v1_gen4_matrix_nsweep_7800x3d_4070tis.csv
# calibration.timestamp: 2026-07-28T22:55:22+0900
# calibration.hostname: JueonAtHome
# calibration.kernel: Linux JueonAtHome 6.18.33.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun 18 21:54:43 UTC 2026 x86_64
# calibration.cpu_model: AMD Ryzen 7 7800X3D 8-Core Processor
# calibration.governors: 
# calibration.transparent_hugepage: always [madvise] never
# calibration.numactl_available: False
# calibration.cuda_toolkit: nvcc: NVIDIA (R) Cuda compiler driver Copyright (c) 2005-2026 NVIDIA Corporation Built on Thu_Mar_19_11:12:51_PM_PDT_2026 Cuda compilation tools, release 13.2, V13.2.78 Build cuda_13.2.r13.2/compiler.37668154_0
# calibration.gpus: {'name': 'NVIDIA GeForce RTX 4070 Ti SUPER', 'driver': '595.79', 'pcie_gen_current_idle': '4', 'pcie_gen_max': '4', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '210 MHz', 'clocks_mem': '405 MHz'}
# calibration.pcie_under_load.gen: 4
# calibration.pcie_under_load.width: 16
# calibration.triad_gbps: 36.59
# calibration.nvbandwidth: None
# calibration.notes: cpufreq governors unreadable; nvbandwidth not installed
machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose,2048,f32,1,8,4,4194304,4,4.65578,4.41129,4.95949,6.16977,1,3.60352,4.59099,4.28742,0.642016,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose,2048,f32,1,8,4,4194304,4,1.13118,1.0734,1.37064,15.1118,1,14.8316,1.09704,0.771947,0.676576,0.047824,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose,2048,f32,1,8,4,4194304,4,0.815518,0.793403,0.887794,3.12111,0,20.5725,0.750304,0,0.685248,0.047712,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose,2048,f32,1,8,16,16777216,1,3.58081,2.56201,4.04638,32.5323,1,4.68531,3.50014,2.88186,0.63048,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose,2048,f32,1,8,16,16777216,1,1.48249,1.41984,1.61322,3.71093,0,11.3169,1.41496,0.669309,0.667184,0.061872,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose,2048,f32,1,8,16,16777216,1,0.773826,0.729851,0.942564,5.68303,1,21.6809,0.727328,0,0.661136,0.059584,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,1,8,4,4194304,4,1.0282,0.94755,1.19226,10.5994,1,16.3171,0.989296,0.734758,0.641872,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,2048,f32,1,8,4,4194304,4,1.28765,1.0836,1.53254,18.9189,1,13.0293,1.23904,0.804037,0.687696,0.0864,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,2048,f32,1,8,4,4194304,4,0.858899,0.768979,0.96621,3.34489,0,19.5334,0.79288,0,0.699024,0.081712,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,1,8,16,16777216,1,0.890444,0.820472,1.01982,6.69758,1,18.8414,0.825536,0.181128,0.629984,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,2048,f32,1,8,16,16777216,1,1.50078,1.40936,1.57702,3.38578,0,11.179,1.43354,0.663107,0.66608,0.082176,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,2048,f32,1,8,16,16777216,1,0.829527,0.759985,0.911369,3.74478,0,20.225,0.769536,0,0.667808,0.080896,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose_quant,2048,s8,0.25,8,4,4194304,1,3.39882,2.89108,4.70912,12.562,1,4.93619,3.32547,3.13299,0.162384,0,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose_quant,2048,s8,0.25,8,4,4194304,4,1.31586,1.09508,1.40595,4.51755,0,12.75,1.25373,0.852392,0.67664,0.069712,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose_quant,2048,s8,0.25,8,4,4194304,4,0.792685,0.747559,0.835075,6.534,1,21.165,0.7424,0,0.667296,0.06264,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose_quant,2048,s8,0.25,8,16,16777216,1,1.46394,1.41239,1.65873,5.02474,1,11.4603,1.42125,0.671646,0.664416,0.071904,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose_quant,2048,s8,0.25,8,16,16777216,1,0.790189,0.752922,0.923345,7.30297,1,21.2319,0.756224,0,0.65944,0.07456,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,quant,2048,s8,0.25,8,4,4194304,1,0.359718,0.322666,0.414919,14.3756,1,46.6399,0.324016,0.144526,0.162336,0,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,quant,2048,s8,0.25,8,4,4194304,4,1.19434,1.09604,1.47903,18.1611,1,14.0473,1.14875,0.820565,0.697216,0.055696,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,quant,2048,s8,0.25,8,4,4194304,4,0.769693,0.742422,0.849148,4.47549,0,21.7973,0.731472,0,0.667776,0.051664,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,quant,2048,s8,0.25,8,16,16777216,1,1.43934,1.38326,1.53543,2.99256,0,11.6562,1.40483,0.66141,0.670256,0.05632,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,quant,2048,s8,0.25,8,16,16777216,1,0.791215,0.730334,0.848201,8.00901,1,21.2044,0.725408,0,0.663216,0.057552,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,nchw_nhwc_quant,2048,s8,0.25,8,4,4194304,1,2.28323,2.12765,2.38328,7.05712,1,7.34803,2.25181,2.07309,0.161392,0,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,nchw_nhwc_quant,2048,s8,0.25,8,4,4194304,4,1.18508,1.1032,1.30737,7.30503,1,14.157,1.15046,0.763244,0.694864,0.099264,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,nchw_nhwc_quant,2048,s8,0.25,8,4,4194304,4,0.818982,0.778897,0.954282,6.08353,1,20.4855,0.781776,0,0.665424,0.097712,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,nchw_nhwc_quant,2048,s8,0.25,8,16,16777216,1,1.50414,1.42422,1.64219,6.2118,1,11.154,1.44896,0.65554,0.66392,0.10848,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,nchw_nhwc_quant,2048,s8,0.25,8,16,16777216,1,0.85967,0.788606,0.949455,3.33427,0,19.5159,0.795136,0,0.669472,0.105072,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,convert_f16,2048,f16,0.5,8,4,4194304,2,0.542991,0.502967,0.576376,4.72678,0,30.8978,0.514384,0.309915,0.32096,0,0,1,matrix,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,convert_f16,2048,f16,0.5,8,4,4194304,4,1.22415,1.0688,1.4503,17.4181,1,13.7052,1.19208,0.838787,0.6828,0.057056,0,1,matrix,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,convert_f16,2048,f16,0.5,8,4,4194304,4,0.756775,0.730294,0.837566,3.16554,0,22.1694,0.717264,0,0.65992,0.040544,0,1,matrix,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,convert_f16,2048,f16,0.5,8,16,8388608,1,0.512496,0.48289,0.544277,2.61763,0,32.7363,0.469808,0.143904,0.318272,0,0,1,matrix,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,convert_f16,2048,f16,0.5,8,16,16777216,1,1.44588,1.40391,1.56183,3.51681,0,11.6035,1.39757,0.66153,0.668048,0.05472,0,1,matrix,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,convert_f16,2048,f16,0.5,8,16,16777216,1,0.75743,0.721396,0.858327,3.70876,0,22.1502,0.719664,0,0.658896,0.053104,0,1,matrix,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose,4096,f32,1,8,4,4194304,16,20.9398,20.1355,21.8394,3.89107,0,3.20484,20.9086,20.2608,2.56514,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose,4096,f32,1,8,4,4194304,16,4.15445,3.79407,5.07304,7.16029,1,16.1535,4.11802,3.28092,2.60648,0.265456,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose,4096,f32,1,8,4,4194304,16,2.92127,2.86273,3.05829,1.76307,0,22.9725,2.87283,0,2.58021,0.26072,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose,4096,f32,1,8,16,16777216,4,15.569,14.24,16.3787,5.12835,1,4.31042,15.5356,14.7671,2.522,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose,4096,f32,1,8,16,16777216,4,3.86059,3.70064,4.18545,4.15122,0,17.383,3.81645,2.78424,2.57128,0.26048,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose,4096,f32,1,8,16,16777216,4,2.88899,2.81689,2.95804,1.63267,0,23.2292,2.84408,0,2.54128,0.27544,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose,4096,f32,1,8,64,67108864,1,15.8764,12.8985,17.2931,11.9482,1,4.22696,15.8577,13.2646,2.51419,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose,4096,f32,1,8,64,67108864,1,5.4009,5.31537,5.47574,1.52116,0,12.4255,5.35851,2.49925,2.54024,0.278896,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose,4096,f32,1,8,64,67108864,1,2.86,2.81399,2.92483,1.91904,0,23.4646,2.8163,0,2.52957,0.27064,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,4096,f32,1,8,4,4194304,16,3.95187,3.75099,4.50317,5.75499,1,16.9815,3.92526,3.3449,2.5605,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,4096,f32,1,8,4,4194304,16,4.11789,3.81311,5.09368,7.24199,1,16.2969,4.08474,3.23975,2.61134,0.248832,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,4096,f32,1,8,4,4194304,16,2.92095,2.86871,2.98082,1.59343,0,22.975,2.8687,0,2.57494,0.26096,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,4096,f32,1,8,16,16777216,4,3.53111,3.31557,3.85067,7.4369,1,19.005,3.48978,2.70913,2.5297,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,4096,f32,1,8,16,16777216,4,3.95108,3.85717,4.11281,2.45035,0,16.9849,3.90941,2.87179,2.56814,0.255856,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,4096,f32,1,8,16,16777216,4,2.85466,2.79982,2.96064,2.11299,0,23.5085,2.81376,0,2.53883,0.257296,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,4096,f32,1,8,64,67108864,1,4.86573,4.57232,5.26541,5.51666,1,13.7921,4.81115,2.27805,2.5032,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,4096,f32,1,8,64,67108864,1,5.47813,5.36477,5.60946,0.947797,0,12.2503,5.44973,2.5949,2.54538,0.268576,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,4096,f32,1,8,64,67108864,1,2.84367,2.80673,2.92547,0.942557,0,23.5994,2.80298,0,2.53082,0.260432,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose_quant,4096,s8,0.25,8,4,4194304,4,15.8956,14.2442,17.8423,8.21491,1,4.22184,15.8986,15.5581,0.642416,0,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose_quant,4096,s8,0.25,8,4,4194304,16,4.34906,4.12773,4.74757,5.18393,1,15.4307,4.32618,3.23712,2.61907,0.397856,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose_quant,4096,s8,0.25,8,4,4194304,16,3.05826,2.99128,3.12889,1.81722,0,21.9435,3.0295,0,2.58126,0.399984,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose_quant,4096,s8,0.25,8,16,16777216,1,15.9671,13.1071,18.3444,8.40981,1,4.20295,15.9721,15.2482,0.631824,0,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose_quant,4096,s8,0.25,8,16,16777216,4,4.10525,3.92385,4.2893,3.30362,0,16.3471,4.0667,2.89134,2.56526,0.405088,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose_quant,4096,s8,0.25,8,16,16777216,4,2.99567,2.94163,3.12586,2.35228,0,22.402,2.95882,0,2.5407,0.395312,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose_quant,4096,s8,0.25,8,64,67108864,1,5.51567,5.45717,5.62141,1.48812,0,12.1669,5.4885,2.49885,2.54394,0.412944,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose_quant,4096,s8,0.25,8,64,67108864,1,2.97416,2.92746,3.059,0.991565,0,22.564,2.93968,0,2.52858,0.400464,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,quant,4096,s8,0.25,8,4,4194304,4,1.26479,1.13996,1.45228,13.2315,1,53.0592,1.21136,0.931666,0.641312,0,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,quant,4096,s8,0.25,8,4,4194304,16,3.95059,3.76015,4.27592,4.79879,0,16.9871,3.93266,3.22003,2.60613,0.174864,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,quant,4096,s8,0.25,8,4,4194304,16,2.82669,2.77096,2.91697,1.28527,0,23.7411,2.79603,0,2.58058,0.184832,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,quant,4096,s8,0.25,8,16,16777216,1,1.16918,1.02854,1.31694,13.1004,1,57.3982,1.0941,0.458113,0.629856,0,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,quant,4096,s8,0.25,8,16,16777216,4,3.79305,3.65615,3.95895,4.24562,0,17.6926,3.74221,2.75637,2.55182,0.181456,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,quant,4096,s8,0.25,8,16,16777216,4,2.78424,2.74485,2.88859,1.32454,0,24.1031,2.74739,0,2.546,0.181696,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,quant,4096,s8,0.25,8,64,67108864,1,5.28755,5.24548,5.40314,1.49282,0,12.6919,5.2641,2.50378,2.5431,0.192272,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,quant,4096,s8,0.25,8,64,67108864,1,2.76642,2.73025,2.83365,1.07533,0,24.2584,2.72435,0,2.5289,0.184928,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,nchw_nhwc_quant,4096,s8,0.25,8,4,4194304,4,9.01478,8.23654,9.54349,7.33986,1,7.44431,9.0083,8.67086,0.640336,0,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,nchw_nhwc_quant,4096,s8,0.25,8,4,4194304,16,4.19285,3.94654,4.8097,5.65871,1,16.0055,4.17202,3.15268,2.60941,0.428128,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,nchw_nhwc_quant,4096,s8,0.25,8,4,4194304,16,3.06869,3.03599,3.15374,1.64049,0,21.8689,3.02579,0,2.5633,0.429616,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,nchw_nhwc_quant,4096,s8,0.25,8,16,16777216,1,8.6909,8.39613,9.48271,5.95823,1,7.72174,8.68347,7.99371,0.631232,0,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,nchw_nhwc_quant,4096,s8,0.25,8,16,16777216,4,4.059,3.90356,4.28157,4.40503,0,16.5333,4.01634,2.8027,2.55515,0.44088,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,nchw_nhwc_quant,4096,s8,0.25,8,16,16777216,4,3.03051,2.98117,3.12214,1.41762,0,22.1444,2.99315,0,2.54013,0.441856,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,nchw_nhwc_quant,4096,s8,0.25,8,64,67108864,1,5.554,5.49064,5.64274,1.26102,0,12.083,5.5295,2.49573,2.54371,0.444432,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,nchw_nhwc_quant,4096,s8,0.25,8,64,67108864,1,3.0275,2.97467,3.0978,0.903211,0,22.1664,2.99264,0,2.53346,0.441632,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,convert_f16,4096,f16,0.5,8,4,4194304,8,2.07946,1.87545,2.29023,10.4306,1,32.2722,2.04922,1.68262,1.28896,0,0,1,matrix,f16
