machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,1,8,4,4194304,4,1.1937,1.0542,1.32185,7.46313,1,14.0549,1.13082,0.800783,0.641792,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,2048,f32,1,8,4,4194304,4,1.18666,1.10956,1.41914,10.131,1,14.1382,1.15093,0.785708,0.702528,0.081648,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,2048,f32,1,8,4,4194304,4,0.800429,0.771905,0.847798,4.16155,0,20.9603,0.775472,0,0.672288,0.078816,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,1,8,16,16777216,1,0.907703,0.873286,0.963028,5.04487,1,18.4831,0.839872,0.191181,0.630544,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,2048,f32,1,8,16,16777216,1,1.4688,1.41294,1.54224,3.8917,0,11.4224,1.42941,0.6626,0.66936,0.085488,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,2048,f32,1,8,16,16777216,1,0.793277,0.765522,0.902449,3.27909,0,21.1493,0.747312,0,0.653664,0.084688,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,4096,f32,1,8,4,4194304,16,4.05139,3.61795,4.90017,8.55244,1,16.5644,3.98882,3.42494,2.55565,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,4096,f32,1,8,4,4194304,16,4.60252,3.9264,5.07073,17.2104,1,14.5809,4.50829,3.54665,2.6169,0.251408,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,4096,f32,1,8,4,4194304,16,2.93591,2.90185,3.00008,1.16413,0,22.858,2.87018,0,2.57155,0.25904,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,4096,f32,1,8,16,16777216,4,3.42498,3.02518,3.7132,10.0508,1,19.5939,3.35358,2.63167,2.51646,0,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,4096,f32,1,8,16,16777216,4,3.89652,3.79649,4.20275,2.8821,0,17.2228,3.8096,2.79928,2.55507,0.261888,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,4096,f32,1,8,16,16777216,4,2.88652,2.86119,2.95996,1.11651,0,23.2491,2.82829,0,2.54787,0.2532,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,4096,f32,1,8,64,67108864,1,4.75185,4.52185,5.04583,4.31297,0,14.1227,4.66138,2.13829,2.50418,0,0,1,matrix,f32
