# config.machine: 7800x3d-4070tis
# config.bin: ./bench-rtrack
# config.transforms: rsweep
# config.methods: all
# config.n: 2048; 4096; 8192; 16384
# config.chunk_mib: 4; 16; 64; 256
# config.threads: 8
# config.warmup: 5
# config.iters: 30
# config.out_csv: bench/results/v1_gen4_rsweep_7800x3d_4070tis.csv
# calibration.timestamp: 2026-07-28T22:55:22+0900
# calibration.hostname: JueonAtHome
# calibration.kernel: Linux JueonAtHome 6.18.33.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun 18 21:54:43 UTC 2026 x86_64
# calibration.cpu_model: AMD Ryzen 7 7800X3D 8-Core Processor
# calibration.governors: 
# calibration.transparent_hugepage: always [madvise] never
# calibration.numactl_available: False
# calibration.cuda_toolkit: nvcc: NVIDIA (R) Cuda compiler driver Copyright (c) 2005-2026 NVIDIA Corporation Built on Thu_Mar_19_11:12:51_PM_PDT_2026 Cuda compilation tools, release 13.2, V13.2.78 Build cuda_13.2.r13.2/compiler.37668154_0
# calibration.gpus: {'name': 'NVIDIA GeForce RTX 4070 Ti SUPER', 'driver': '595.79', 'pcie_gen_current_idle': '4', 'pcie_gen_max': '4', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '210 MHz', 'clocks_mem': '405 MHz'}
# calibration.pcie_under_load.gen: 4
# calibration.pcie_under_load.width: 16
# calibration.triad_gbps: 36.59
# calibration.nvbandwidth: None
# calibration.notes: cpufreq governors unreadable; nvbandwidth not installed
machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,1,8,4,4194304,4,0.990106,0.937943,1.07957,5.5818,1,16.9449,0.948,0.722923,0.641696,0,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,2048,f32,1,8,4,4194304,4,1.19039,1.08892,1.31664,9.76181,1,14.0938,1.13869,0.754169,0.69592,0.088288,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,2048,f32,1,8,4,4194304,4,0.799182,0.759354,0.846573,3.81956,0,20.993,0.754688,0,0.664864,0.070592,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,1,8,16,16777216,1,0.902315,0.85083,0.940632,5.11085,1,18.5935,0.825024,0.178687,0.630176,0,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,blocked_transpose,2048,f32,1,8,16,16777216,1,1.49934,1.4462,1.56495,2.4754,0,11.1897,1.41957,0.665415,0.6636,0.084896,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,2048,f32,1,8,16,16777216,1,0.804261,0.760556,0.875896,3.50176,0,20.8604,0.751456,0,0.654816,0.0864,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,0.5,8,4,4194304,2,0.846783,0.741283,0.9571,8.1414,1,19.8129,0.78368,0.422258,0.39384,0,0.098032,1,rsweep,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,0.5,8,16,8388608,1,0.755527,0.68999,0.828923,6.61551,1,22.206,0.6776,0.247714,0.354544,0,0.053808,1,rsweep,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,0.25,8,4,4194304,1,0.500559,0.417195,0.64165,7.26398,1,33.517,0.44264,0.16868,0.198112,0,0.054096,1,rsweep,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,2048,f32,0.125,8,4,2097152,1,0.472549,0.395787,0.545019,9.92631,1,35.5036,0.401776,0.197054,0.119984,0,0.066288,1,rsweep,s4
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,quant,2048,f32,1,8,4,4194304,4,1.6097,1.44995,1.82794,14.5965,1,10.4226,1.54798,1.26351,0.640656,0,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,quant,2048,f32,1,8,4,4194304,4,1.76239,1.48381,1.92633,14.2428,1,9.51957,1.68304,1.40692,0.641392,0.001312,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,quant,2048,f32,1,8,4,4194304,4,0.714969,0.692402,0.779737,1.66259,0,23.4657,0.647872,0,0.637904,0.001312,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,quant,2048,f32,1,8,16,16777216,1,1.47628,1.41267,1.54241,2.30209,0,11.3645,1.384,0.745147,0.630784,0,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,quant,2048,f32,1,8,16,16777216,1,1.41137,1.37458,1.47846,3.0587,0,11.8872,1.35709,0.714357,0.631184,0.001312,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,quant,2048,f32,1,8,16,16777216,1,0.696627,0.6753,0.735162,4.95919,0,24.0835,0.636064,0,0.629728,0.001312,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,quant,2048,f32,0.5,8,4,4194304,2,0.713506,0.655825,0.772353,4.3836,0,23.5138,0.674,0.315241,0.418624,0,0.103712,1,rsweep,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,quant,2048,f32,0.5,8,16,8388608,1,0.617365,0.55855,0.739575,7.73825,1,27.1755,0.575296,0.129938,0.356896,0,0.05672,1,rsweep,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,quant,2048,f32,0.25,8,4,4194304,1,0.467008,0.402082,0.580852,15.4127,1,35.9249,0.428464,0.158527,0.196096,0,0.058336,1,rsweep,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,quant,2048,f32,0.125,8,4,2097152,1,0.406992,0.323859,0.504886,7.52374,1,41.2225,0.37376,0.141695,0.129904,0,0.066192,1,rsweep,s4
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose_quant,2048,f32,1,8,4,4194304,4,4.64571,4.27142,5.20744,8.52596,1,3.61133,4.57138,4.33473,0.640768,0,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose_quant,2048,f32,1,8,4,4194304,4,1.58706,1.52214,1.71231,4.68023,0,10.5713,1.53888,1.23023,0.698992,0.045808,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose_quant,2048,f32,1,8,4,4194304,4,0.799776,0.738724,0.909458,3.30052,0,20.9774,0.754176,0,0.677888,0.054816,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose_quant,2048,f32,1,8,16,16777216,1,3.20248,2.65451,3.99576,33.8368,1,5.23882,3.13573,2.51586,0.629088,0,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose_quant,2048,f32,1,8,16,16777216,1,1.49144,1.46294,1.60169,1.95203,0,11.249,1.44048,0.707831,0.671696,0.053568,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose_quant,2048,f32,1,8,16,16777216,1,0.785176,0.722527,0.818697,3.76122,0,21.3674,0.744176,0,0.669696,0.057456,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose_quant,2048,f32,0.5,8,4,4194304,2,2.84688,2.53222,3.85122,24.5975,1,5.89318,2.79638,2.5024,0.377056,0,0.095104,1,rsweep,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose_quant,2048,f32,0.5,8,16,8388608,1,2.53412,2.42488,3.75861,12.1128,1,6.62053,2.48166,2.09723,0.33536,0,0.050064,1,rsweep,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose_quant,2048,f32,0.25,8,4,4194304,1,3.65595,2.9625,4.00079,10.6813,1,4.58901,3.5927,3.35172,0.199776,0,0.050688,1,rsweep,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,transpose_quant,2048,f32,0.125,8,4,2097152,1,3.72723,2.89923,4.15028,5.58402,1,4.50125,3.66053,3.47579,0.123136,0,0.063616,1,rsweep,s4
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,nchw_nhwc_quant,2048,f32,1,8,4,4194304,4,3.79815,3.44157,4.47521,11.249,1,4.4172,3.73586,3.48784,0.640144,0,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,nchw_nhwc_quant,2048,f32,1,8,4,4194304,4,1.69053,1.57415,1.84051,5.29848,1,9.92426,1.64643,1.2257,0.686128,0.097712,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,nchw_nhwc_quant,2048,f32,1,8,4,4194304,4,0.837864,0.775157,0.905871,7.6655,1,20.0238,0.769024,0,0.666608,0.087568,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,nchw_nhwc_quant,2048,f32,1,8,16,16777216,1,2.5733,2.13391,3.33535,37.6756,1,6.51973,2.52008,1.87853,0.629888,0,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,nchw_nhwc_quant,2048,f32,1,8,16,16777216,1,1.57412,1.54264,1.65916,3.30675,0,10.6581,1.5148,0.768186,0.644528,0.090192,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,nchw_nhwc_quant,2048,f32,1,8,16,16777216,1,0.805916,0.776173,0.922325,3.09803,0,20.8176,0.747856,0,0.655296,0.085584,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,nchw_nhwc_quant,2048,f32,0.5,8,4,4194304,2,2.68092,2.02819,3.39669,28.3783,1,6.25801,2.63706,2.27907,0.413472,0,0.11056,1,rsweep,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,nchw_nhwc_quant,2048,f32,0.5,8,16,8388608,1,2.64046,1.91577,3.21902,40.6598,1,6.35389,2.59226,2.14392,0.359264,0,0.05992,1,rsweep,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,nchw_nhwc_quant,2048,f32,0.25,8,4,4194304,1,2.48439,2.2649,3.0287,5.51536,1,6.75305,2.43795,2.13205,0.205216,0,0.058304,1,rsweep,s8
