machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,1,8,4,16777216,64,81.0395,75.5916,88.6426,9.92599,1,13.2496,81.0517,77.6524,40.3902,0,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,1,8,64,67108864,16,77.2725,72.9944,89.2881,8.27741,1,13.8955,77.3647,73.846,44.0807,0,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,1,8,256,268435456,4,86.5926,85.3323,87.9547,1.13476,0,12.3999,86.7071,76.2774,45.6413,0,0,1,rsweep,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.5,8,4,8388608,64,77.1347,73.15,82.1823,4.77114,0,13.9203,77.3124,71.7422,22.7226,0,6.53322,1,rsweep,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.5,8,16,16777216,32,62.9859,59.2026,67.1761,4.26581,0,17.0473,62.3348,59.0149,21.3357,0,5.96717,1,rsweep,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.5,8,64,67108864,8,103.836,95.3298,108.794,6.32124,1,10.3407,103.404,99.1827,22.9679,0,7.06048,1,rsweep,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.5,8,256,268435456,2,127.012,125.263,129.434,1.34194,0,8.45389,126.953,114.543,21.9135,0,5.67562,1,rsweep,f16
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.25,8,4,4194304,64,48.8232,43.3975,56.6316,6.35644,1,21.9925,48.8898,42.0766,12.756,0,5.85854,1,rsweep,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.25,8,16,16777216,16,30.9435,29.9282,32.3453,3.54617,0,34.7001,30.9528,28.4149,10.7068,0,5.09083,1,rsweep,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,blocked_transpose,16384,f32,0.25,8,64,67108864,4,40.4894,39.3228,41.3663,1.80845,0,26.5191,40.535,36.3938,10.5998,0,5.06261,1,rsweep,s8
