# config.machine: 7800x3d-4070tis
# config.bin: ./bench-rtrack
# config.transforms: T1b,T3
# config.methods: bfair
# config.variant: auto
# config.n: 2048; 4096; 8192; 16384
# config.chunk_mib: 4; 16; 64; 256
# config.threads: 8
# config.warmup: 5
# config.iters: 30
# config.out_csv: bench/results/v2_isa_bfair_matrix_7800x3d_4070tis.csv
# calibration.timestamp: 2026-07-28T23:53:05+0900
# calibration.hostname: JueonAtHome
# calibration.kernel: Linux JueonAtHome 6.18.33.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun 18 21:54:43 UTC 2026 x86_64
# calibration.cpu_model: AMD Ryzen 7 7800X3D 8-Core Processor
# calibration.governors: 
# calibration.transparent_hugepage: always [madvise] never
# calibration.numactl_available: False
# calibration.cuda_toolkit: nvcc: NVIDIA (R) Cuda compiler driver Copyright (c) 2005-2026 NVIDIA Corporation Built on Thu_Mar_19_11:12:51_PM_PDT_2026 Cuda compilation tools, release 13.2, V13.2.78 Build cuda_13.2.r13.2/compiler.37668154_0
# calibration.gpus: {'name': 'NVIDIA GeForce RTX 4070 Ti SUPER', 'driver': '595.79', 'pcie_gen_current_idle': '4', 'pcie_gen_max': '4', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '210 MHz', 'clocks_mem': '405 MHz'}
# calibration.pcie_under_load.gen: 4
# calibration.pcie_under_load.width: 16
# calibration.triad_gbps: 37.11
# calibration.nvbandwidth: None
# calibration.notes: cpufreq governors unreadable; nvbandwidth not installed
machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,2048,f32,1,8,4,4194304,4,0.810679,0.759184,0.835325,4.34675,0,20.6953,0.77312,0,0.670896,0.083264,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,2048,f32,1,8,16,16777216,1,0.778884,0.747564,0.811566,2.51238,0,21.5401,0.74736,0,0.653872,0.083504,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,quant,2048,s8,0.25,8,4,4194304,4,0.812449,0.756514,0.857081,4.30347,0,20.6502,0.746992,0,0.677856,0.055312,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,quant,2048,s8,0.25,8,16,16777216,1,0.776839,0.744463,0.803327,2.84486,0,21.5968,0.73728,0,0.659616,0.065616,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,4096,f32,1,8,4,4194304,16,2.93992,2.85229,3.09003,2.60574,0,22.8268,2.89901,0,2.56878,0.307536,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,4096,f32,1,8,16,16777216,4,2.86726,2.81243,3.02193,1.85669,0,23.4052,2.81744,0,2.53848,0.258112,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,blocked_transpose,4096,f32,1,8,64,67108864,1,2.82826,2.80518,2.89319,1.42235,0,23.728,2.78989,0,2.52411,0.258864,0,1,matrix,f32
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,quant,4096,s8,0.25,8,4,4194304,16,2.82716,2.77368,2.9155,1.79807,0,23.7372,2.78306,0,2.57469,0.176512,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,quant,4096,s8,0.25,8,16,16777216,4,2.8049,2.74284,2.92831,1.87982,0,23.9256,2.74272,0,2.54366,0.183136,0,1,matrix,s8
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,quant,4096,s8,0.25,8,64,67108864,1,2.87892,2.7403,3.04726,5.3758,1,23.3104,2.79186,0,2.53426,0.244496,0,1,matrix,s8
