# config.machine: epyc7351-2080ti
# config.bin: ./bench-rtrack
# config.transforms: T1,T1b,T3,T5
# config.methods: a
# config.variant: avx2
# config.n: 2048; 4096; 8192; 16384
# config.chunk_mib: 4; 16; 64; 256
# config.threads: 8
# config.warmup: 5
# config.iters: 30
# config.out_csv: bench/results/v2_isa_gen3_matrix_avx2_epyc7351-2080ti.csv
# calibration.timestamp: 2026-07-29T10:25:02+0900
# calibration.hostname: rebel-gpu1
# calibration.kernel: Linux rebel-gpu1 6.8.0-124-generic #124~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue May 26 21:05:19 UTC  x86_64
# calibration.cpu_model: AMD EPYC 7351 16-Core Processor
# calibration.governors: performance
# calibration.transparent_hugepage: always [madvise] never
# calibration.numactl_available: False
# calibration.cuda_toolkit: None
# calibration.gpus: {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}
# calibration.pcie_under_load.gen: 3
# calibration.pcie_under_load.width: 16
# calibration.triad_gbps: 26.14
# calibration.nvbandwidth: None
# calibration.notes: nvbandwidth not installed
machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,2048,f32,1,8,4,4194304,4,28.4224,25.2716,28.8801,1.61079,0,0.590282,28.4156,28.0017,1.33646,0,0,1,matrix,f32
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,2048,f32,1,8,16,16777216,1,16.7489,16.4504,20.2751,14.8907,1,1.00169,16.7414,15.4216,1.30115,0,0,1,matrix,f32
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,2048,f32,1,8,4,4194304,4,1.92867,1.72534,2.08264,9.82653,1,8.69887,1.92189,1.53992,1.34958,0,0,1,matrix,f32
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,2048,f32,1,8,16,16777216,1,2.79539,2.77699,2.81278,0.437622,0,6.00174,2.78717,1.47378,1.30138,0,0,1,matrix,f32
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,2048,s8,0.25,8,4,4194304,1,0.959421,0.878492,1.02909,5.54278,1,17.4868,0.952528,0.610066,0.334576,0,0,1,matrix,s8
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,2048,f16,0.5,8,4,4194304,2,1.31732,1.28503,1.37412,1.90691,0,12.7359,1.31091,0.966445,0.708608,0,0,1,matrix,f16
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,2048,f16,0.5,8,16,8388608,1,1.50074,1.46654,1.53421,1.9561,0,11.1793,1.49418,0.829754,0.654752,0,0,1,matrix,f16
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,4096,f32,1,8,4,4194304,16,168.493,163.863,174.696,2.0715,0,0.398288,168.486,167.782,5.32755,0,0,1,matrix,f32
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,4096,f32,1,8,16,16777216,4,102.646,101.679,106.405,1.24575,0,0.653792,102.638,101.234,5.19054,0,0,1,matrix,f32
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,4096,f32,1,8,64,67108864,1,107.666,106.532,109.272,0.874244,0,0.623309,107.658,102.482,5.15395,0,0,1,matrix,f32
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,4096,f32,1,8,4,4194304,16,6.55608,6.09899,7.03094,6.37546,1,10.2361,6.54851,6.01969,5.4239,0,0,1,matrix,f32
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,4096,f32,1,8,16,16777216,4,8.75172,8.71633,9.09924,0.84813,0,7.66808,8.74403,7.32105,6.21056,0,0,1,matrix,f32
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,4096,f32,1,8,64,67108864,1,11.1012,11.0774,11.1515,0.21496,0,6.0452,11.093,5.92796,5.15142,0,0,1,matrix,f32
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,4096,s8,0.25,8,4,4194304,4,3.77745,3.73847,4.01885,4.1074,0,17.7656,3.7705,3.35248,1.45762,0,0,1,matrix,s8
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,4096,s8,0.25,8,16,16777216,1,4.31681,4.2806,4.55683,1.00041,0,15.5459,4.30936,2.99363,1.30261,0,0,1,matrix,s8
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,4096,f16,0.5,8,4,4194304,8,4.90684,4.83579,5.11393,0.852689,0,13.6766,4.90038,4.47213,2.95965,0,0,1,matrix,f16
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,4096,f16,0.5,8,16,16777216,2,5.76578,5.72077,5.93615,1.17542,0,11.6392,5.75424,4.40064,2.85379,0,0,1,matrix,f16
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,4096,f16,0.5,8,64,33554432,1,6.50045,6.47775,6.64592,0.595397,0,10.3237,6.49296,3.89577,2.58542,0,0,1,matrix,f16
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,8,4,4194304,64,656.183,619.123,699.19,3.36556,0,0.409086,656.176,654.52,21.1839,0,0,1,matrix,f32
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,8,16,16777216,16,395.964,391.733,398.907,0.520658,0,0.67793,395.956,394.181,20.7425,0,0,1,matrix,f32
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,8,64,67108864,4,408.787,406.802,411.725,0.744873,0,0.656663,408.779,403.457,20.5939,0,0,1,matrix,f32
